stand_id,franchise_id,address,city,state_code,state,postal_code,country,phone,lat,lon,project_stage,open_date,google_review_link,stand_photo,notes
001001,001,2101 S 52nd St,Rogers,AR,Arkansas,72758,USA,(479) 335-1905,36.317530,-94.186200,6-Open,2017-02-01,https://g.page/r/CUvZu7NK4GrbEBM/review,true,
001002,001,2500 E Central Ave,Bentonville,AR,Arkansas,72712,USA,(479) 335-1945,36.371090,-94.182300,6-Open,2017-08-01,https://g.page/r/CeyvkYUT61asEBM/review,true,
001003,001,4100 W Walnut St,Rogers,AR,Arkansas,72756,USA,(479) 335-5260,36.334370,-94.176100,6-Open,2017-11-01,https://g.page/r/CeHoMJnwtKlIEBM/review,true,
001004,001,1195 W MLK Jr Blvd,Fayetteville,AR,Arkansas,72701,USA,(479) 358-9274,36.056770,-94.177700,6-Open,2018-09-10,https://g.page/r/CbZYhFVt86qIEBM/review,true,
001005,001,2960 W Sunset Ave,Springdale,AR,Arkansas,72762,USA,(479) 396-3184,36.174970,-94.162700,6-Open,2018-12-17,https://g.page/r/Cco46Qips4gREBM/review,true,
001006,001,500 S Bloomington St,Lowell,AR,Arkansas,72745,USA,(479) 396-3186,36.246480,-94.137800,6-Open,2019-10-14,https://g.page/r/CX5H9UOgQ6AgEBM/review,true,
001007,001,1359 E Henri De Tonti Blvd,Springdale,AR,Arkansas,72762,USA,(479) 448-2066,36.175550,-94.212700,6-Open,2019-12-12,https://g.page/r/CXCgAye8xu2oEBM/review,true,
001008,001,2503 N 2nd St,Rogers,AR,Arkansas,72756,USA,(479) 448-2067,36.355670,-94.115700,6-Open,2020-05-18,https://g.page/r/CeeBWhamaPsmEBM/review,true,
002010,001,3347 S Rangeline Rd,Joplin,MO,Missouri,64804,USA,(479) 358-9274,37.052030,-94.478100,6-Open,2021-02-14,https://g.page/r/CWTJmXQ9Q6g6EBM/review,true,
001011,001,2500 E US HWY 412,Siloam Springs,AR,Arkansas,72761,USA,(479) 448-2068,36.180720,-94.515800,6-Open,2021-05-07,https://g.page/r/CTcnUA6Pc6iPEBM/review,true,
001009,001,2903 SW 14th St,Bentonville,AR,Arkansas,72712,USA,(479) 449-1364,36.357070,-94.245200,6-Open,2021-07-02,https://g.page/r/CREpIGzZ0r2pEBM/review,true,
001012,001,900 Exchange Ave,Conway,AR,Arkansas,72032,USA,(501) 424-6637,35.061970,-92.418400,6-Open,2021-09-04,https://g.page/r/CZHh7bh-7bOCEBM/review,true,
001013,001,3322 N College Ave,Fayetteville,AR,Arkansas,72703,USA,(479) 487-5001,36.111530,-94.144000,6-Open,2021-11-14,https://g.page/r/CUMSQePst0VhEBM/review,true,
000015,011,2317 N Glenstone Ave,Springfield,MO,Missouri,65803,USA,(417) 290-1001,37.238520,-93.261400,6-Open,2021-12-04,https://g.page/r/CeBFtz5LPggSEBM/review,true,
000016,087,1457 Woodruff Rd,Greenville,SC,South Carolina,29607,USA,(864) 999-4243,34.820830,-82.281400,6-Open,2022-01-21,https://g.page/r/CeWqoaU87QAfEBM/review,true,
000014,001,1135 Skyline Dr,Conway,AR,Arkansas,72032,USA,(501) 443-2989,35.109460,-92.440000,6-Open,2022-02-07,https://g.page/r/Cb7kbtPca3jcEBM/review,true,
000018,017,3611 McCann Rd,Longview,TX,Texas,75605,USA,(903) 803-4804,32.541700,-94.754700,6-Open,2022-02-20,https://g.page/r/CRHwuOHLvCQ5EBM/review,true,
000017,071,1115 SW Wanamaker Rd,Topeka,KS,Kansas,66604,USA,(785) 592-7936,39.047670,-95.762100,6-Open,2022-02-21,https://g.page/r/CV2JdOPA2XejEBM/review,true,
000019,011,1445 W Battlefield Rd,Springfield,MO,Missouri,65807,USA,(417) 290-1002,37.160350,-93.312200,6-Open,2022-03-21,https://g.page/r/CUKeqhDQmBQkEBM/review,true,
000021,011,2970 E Sunshine St,Springfield,MO,Missouri,65804,USA,(417) 290-1003,37.179700,-93.235200,6-Open,2022-05-25,https://g.page/r/CaQG1_8TmIhjEBM/review,false,
000020,087,2102 Wade Hampton Blvd,Greenville,SC,South Carolina,29615,USA,(864) 999-4268,34.884590,-82.353700,6-Open,2022-06-30,https://g.page/r/CRa7e3xvMCriEBM/review,false,
000048,004,322 Weir Rd,Russellville,AR,Arkansas,72802,USA,(501) 462-3782,35.281720,-93.106500,6-Open,2022-07-18,https://g.page/r/Cc12CyYzDwc6EBM/review,true,
000026,008,2208 W 76 Country Blvd,Branson,MO,Missouri,65616,USA,(417) 290-1004,36.640670,-93.260500,6-Open,2022-07-25,https://g.page/r/CYaLK6ufjSkhEBM/review,true,
000049,011,1087 S Jefferson Ave,Lebanon,MO,Missouri,65536,USA,(417) 290-1005,37.670430,-92.651200,6-Open,2022-08-08,https://g.page/r/CZZNRzAYaNmEEBM/review,true,
000025,011,7720 Rogers Ave,Fort Smith,AR,Arkansas,72903,USA,(479) 487-5002,35.351190,-94.347400,6-Open,2022-09-21,https://g.page/r/CdSvXjIPG82FEBM/review,true,
000027,060,217 N Thompson Ln,Murfreesboro,TN,Tennessee,37129,USA,(615) 546-0140,35.851340,-86.430300,6-Open,2022-10-17,https://g.page/r/CW4OK0wOhOgFEBM/review,true,
000023,017,101 Cambridge Rd,Tyler,TX,Texas,75703,USA,(903) 991-3929,32.264020,-95.306800,6-Open,2022-10-21,https://g.page/r/CUBQ_A4DDN8jEBM/review,true,
000064,025,3201 S McKenzie St,Foley,AL,Alabama,36535,USA,(251) 263-7520,30.366510,-87.682300,6-Open,2022-10-25,https://g.page/r/CfjKayU9ixErEBM/review,true,
000073,011,5997 Mid-Rivers Mall Dr,Cottleville,MO,Missouri,63376,USA,(618) 992-2893,38.749850,-90.635700,6-Open,2022-10-31,https://g.page/r/CcaHLgNiXGubEBM/review,true,
000091,039,3545 E 10th St,Jeffersonville,IN,Indiana,47130,USA,(502) 901-2330,38.335760,-85.708100,6-Open,2022-10-31,https://g.page/r/CdAMeBN3g_ySEBM/review,true,
000050,019,1020 E 1st St,Ankeny,IA,Iowa,50021,USA,(515) 304-5920,41.732290,-93.582500,6-Open,2022-11-07,https://g.page/r/CdOs-7Q1GlqdEBM/review,true,
