Acquirer,Total Value ($M)
Roark Capital Group,23903.31
Blackstone Corporate Private Equity,10000.0
Panera Bread Co. /Private Group/,7486.08
Nestlé SA,7150.0
Darden Restaurants,4436.04
Restaurant Brands International,4355.32
3G Capital Partners Ltd (Private Equity),4087.48
Kangaroo Acquisition,3343.8
Golden Gate Private Equity,3307.19
Arby's Restaurant Group,2809.61
Trian Fund Management LP,2462.5
Goldman Sachs Capital Partners,2414.85
Dine Brands Global,2134.15
SilverBox Engaged Merger Corp. I,1829.36
Justice Holdings Ltd.,1410.0
Apollo Asset Management,1308.86
Oak Hill Capital Management LLC,1305.57
Apollo Management LP,1290.81
BDT Capital Partners LLC,1264.19
Rhône Capital LLC,1244.67
Bain Capital Private Equity LP,1100.0
Olympus Advisors LLC,1061.41
Centerbridge Partners LP,1039.16
Berkshire Partners LLC,1000.0
FAT Brands,969.66
Seminole Hard Rock Entertainment,965.0
Jack in the Box,870.65
Yum! Brands,840.78
Catterton Management Co. LLC,823.84
MTY Food Group,822.84
