Acquirer,Deal Count
Carrols Restaurant Group,22
Filterfresh Coffee Service LLC,17
Meritage Hospitality Group,16
Landry's LLC,15
Star Buffet,14
Roark Capital Group,12
Ruby Tuesday,12
FAT Brands,11
Sun Capital Partners,9
NPC International,9
Patton Wings,9
Darden Restaurants,8
CSFC Management Co. LLC,8
Red Robin Gourmet Burgers,8
Chanticleer Holdings,8
ARC Group,7
Apple American Group LLC,7
OM Foods Ltd.,7
BBQ Holdings,6
Catterton Management Co. LLC,6
Kahala Brands Ltd.,6
Garnett Station Partners,5
MTY Food Group,5
BT Brands,5
Brentwood Associates,5
Shareholders,5
Glacier Restaurant Group LLC,5
Krispy Kreme Doughnuts,5
Storytellers USA,4
Goode Partners LLC,4
