Category,Chain Name,2024 U.S. Sales ($000),Market_Share_in_Category_%,2024 U.S. Units
All Other,Cava,954000,21.790772042028323,367
All Other,Sweetgreen,677000,15.463682046596618,246
All Other,Captain D's Seafood Kitchen,548000,12.517131110095933,530
All Other,Playa Bowls,296000,6.761078117862038,290
All Other,Long John Silver's,268000,6.121516674280493,482
All Other,Dickey's Barbecue Pit,264000,6.030150753768844,386
All Other,Salad and Go,256000,5.847418912745546,146
All Other,City Barbeque,233000,5.3220648698035635,75
All Other,Just Salad,181000,4.134307903152124,90
All Other,Taziki's Mediterranean Cafe,180000,4.111466423024212,102
All Other,Chopt,177000,4.0429419826404756,94
All Other,Mission BBQ,172000,3.9287345820009136,144
All Other,Bill Miller Bar-B-Q,172000,3.9287345820009136,75
All Other,Crisp & Green,0,0.0,0
All Other,Nick the Greek,0,0.0,0
All Other,California Fish Grill,0,0.0,0
All Other,Piada Italian Street Food,0,0.0,0
All Other,"Halal Guys, The",0,0.0,0
All Other,Salata,0,0.0,0
All Other,Rudy's Texas Bar-B-Q,0,0.0,0
All Other,Skyline Chili,0,0.0,0
All Other,Saladworks,0,0.0,0
All Other,Luna Grill,0,0.0,0
All Other,Moe's Original BBQ,0,0.0,0
All Other,Gold Star Chili,0,0.0,0
All Other,RibCrib BBQ,0,0.0,0
All Other,Tender Greens,0,0.0,0
Asian,P.F. Chang's,965000,28.763040238450078,221
Asian,Benihana,523000,15.588673621460506,81
Asian,Din Tai Fung,412000,12.280178837555887,16
Asian,KPOT Korean BBQ & Hot Pot,398000,11.8628912071535,95
Asian,Kura Sushi,238000,7.093889716840536,64
Asian,Nobu Restaurants,233000,6.944858420268256,24
Asian,Gen Korean BBQ,208000,6.199701937406855,43
Asian,Bonchon,207000,6.1698956780923995,147
Asian,Jinya Ramen Bar,171000,5.096870342771982,68
Asian,Hawkers Asian Street Food,0,0.0,0
Asian,Rock N Roll Sushi,0,0.0,0
Asian,Blue Sushi Sake Grill,0,0.0,0
Asian,Gyu-Kaku,0,0.0,0
Asian,Kona Grill,0,0.0,0
Asian,Boiling Point,0,0.0,0
Asian,HuHot Mongolian Grill,0,0.0,0
Asian/Noodle,Panda Express,6199000,79.27109974424552,2505
Asian/Noodle,Noodles & Company,599000,7.659846547314578,463
Asian/Noodle,Ono Hawaiian BBQ,242000,3.0946291560102304,114
Asian/Noodle,L&L Hawaiian Barbecue,237000,3.030690537084399,227
Asian/Noodle,Pei Wei,211000,2.6982097186700766,121
Asian/Noodle,WaBa Grill,173000,2.21227621483376,193
Asian/Noodle,Teriyaki Madness,159000,2.0332480818414322,158
Asian/Noodle,Hawaiian Bros Island Grill,0,0.0,0
Asian/Noodle,Mo'Bettahs,0,0.0,0
Asian/Noodle,Honeygrow,0,0.0,0
Asian/Noodle,Pokeworks,0,0.0,0
Asian/Noodle,Bibibop Asian Grill,0,0.0,0
Asian/Noodle,Yoshinoya,0,0.0,0
Asian/Noodle,Flame Broiler,0,0.0,0
Asian/Noodle,Sarku Japan,0,0.0,0
Burger,McDonald's,53469000,48.494586775539155,13557
Burger,Wendy's,12554000,11.386056264005658,5933
Burger,Burger King,10980000,9.958491140575285,6701
Burger,Sonic Drive-In,5384000,4.883107131225622,3461
Burger,Jack in the Box,4396000,3.9870243218550963,2191
Burger,Whataburger,4122000,3.738515526543837,1085
Burger,Culver's,3823000,3.46733257107644,997
Burger,Five Guys,2270000,2.058813742177222,1488
Burger,In-N-Out Burger,1831000,1.6606554898354597,415
Burger,Hardee's,1831000,1.6606554898354597,1574
Burger,Carl's Jr.,1523000,1.3813098367118544,1033
Burger,Shake Shack,1304000,1.1826841937440957,373
Burger,Freddy's Frozen Custard & Steakburgers,988000,0.8960828093705266,550
Burger,Steak 'n Shake,761000,0.6902014351528044,406
Burger,Habit Burger & Grill,713000,0.6466670476530217,377
Burger,White Castle,651000,0.5904351304658024,340
Burger,Jack's Family Restaurants,590000,0.5351101796848287,267
Burger,Checkers,549000,0.49792455702876426,484
Burger,Cook Out,370000,0.33557757031082475,363
Burger,Rally's,309000,0.2802526195298509,277
Burger,Krystal Company,294000,0.26664812343616884,279
Burger,A&W All American Food,261000,0.23671823203006825,429
Burger,Farmer Boys,241000,0.2185789039051588,102
Burger,Smashburger,233000,0.211323172655195,194
Burger,Wayback Burgers,181000,0.1641609195304305,145
Burger,Hopdoddy Burger Bar,127000,0.11518473359317498,48
Burger,BurgerFi,103500,0.09387102304640638,68
Burger,P. Terry's Burger Stand,95000,0.08616180859331987,35
Burger,Burgerville,82000,0.07437124531212873,39
Burger,Mooyah,75667,0.06862742706137615,90
Burger,Hat Creek Burger Co.,61500,0.05577843398409654,26
Burger,Fuddruckers,50000,0.04534832031227361,55
Burger,Wahlburgers,35000,0.03174382421859153,40
Burger,Pal's Sudden Service,0,0.0,0
Burger,Fatburger,0,0.0,0
Chicken,Chick-fil-A,22746000,43.30426836233484,3109
Chicken,Popeyes,5726000,10.90126794349465,3148
Chicken,Raising Cane's,4960000,9.442942542740738,828
Chicken,KFC,4907000,9.342040132505806,3669
Chicken,Wingstop,4392000,8.361573316072041,2204
Chicken,Zaxby's,2588000,4.9270837299623045,960
Chicken,Bojangles,1881000,3.581083653809542,840
Chicken,El Pollo Loco,1096000,2.0865856908959373,498
Chicken,Church's Texas Chicken,847000,1.612534744697864,761
Chicken,Dave's Hot Chicken,617000,1.1746563606594829,245
Chicken,Slim Chickens,460000,0.8757567680767621,206
Chicken,Chicken Salad Chick,398000,0.7577199862925027,289
Chicken,Pollo Tropical,342000,0.6511061188744621,123
Chicken,Pollo Campero,334000,0.6358755663861707,120
Chicken,Jollibee,333000,0.6339717473251343,75
Chicken,Golden Chick,306000,0.5825686326771504,228
Chicken,bb.q Chicken,242000,0.46072421277081826,216
Chicken,Lee's Famous Recipe Chicken,230000,0.43787838403838103,126
Chicken,PDQ Chicken,121000,0.23036210638540913,58
Chicken,Huey Magoo's,0,0.0,0
Chicken,Super Chix,0,0.0,0
Chicken,WNB Factory,0,0.0,0
Chicken,Gus's Fried Chicken,0,0.0,0
Chicken,Epic Wings,0,0.0,0
Chicken,Nando's,0,0.0,0
Chicken,Chicken Express,0,0.0,0
Chicken,Boston Market,0,0.0,0
Coffee Cafe,Starbucks,31462000,62.262749674378206,16941
Coffee Cafe,Dunkin',12468000,24.67395470536353,9768
Coffee Cafe,Dutch Bros Coffee,1819000,3.5997692981277085,982
Coffee Cafe,Tim Hortons,776000,1.5356904757268288,653
Coffee Cafe,Scooter's Coffee,723000,1.4308043994207438,849
Coffee Cafe,7 Brew Drive Thru Coffee,502000,0.9934492510500877,321
