Rank,Chain Name,Menu Type,Subsegment,2024 U.S. Sales ($000),2024 U.S. Units,5-Year Sales CAGR,5-Year Unit CAGR,2024 Sales ($M),5Y Sales CAGR (%),5Y Unit CAGR (%)
118,Dave's Hot Chicken,Chicken,FC,617000,245,1.5344669393573795,1.615936621371402,617.0,153.4,161.6
208,7 Brew Drive Thru Coffee,Coffee Cafe,QSR,502000,321,1.103142876090708,1.1492225988330427,502.0,110.3,114.9
149,KPOT Korean BBQ & Hot Pot,Asian,CDR,398000,95,1.0649780582944648,0.9958158629177651,398.0,106.5,99.6
61,Crumbl,Other Beverage/Snack,QSR,1227000,1059,0.9105548260728391,0.8067857394816056,1227.0,91.1,80.7
223,bb.q Chicken,Chicken,QSR,242000,216,0.47046448741063407,0.43905416689867316,242.0,47.0,43.9
195,Salad and Go,All Other,QSR,256000,146,0.4569178748043452,0.4349220946166059,256.0,45.7,43.5
79,Cava,All Other,FC,954000,367,0.41529775767313115,0.32756321908706054,954.0,41.5,32.8
494,Ziggi's Coffee,Coffee Cafe,QSR,74000,100,0.38924594063100093,0.36633168936047467,74.0,38.9,36.6
447,85C Bakery Cafe,Other Beverage/Snack,QSR,263000,80,0.3548981600808343,0.03922410156720635,263.0,35.5,3.9
98,Scooter's Coffee,Coffee Cafe,QSR,723000,849,0.3507359243678456,0.2631669458659027,723.0,35.1,26.3
180,Playa Bowls,All Other,QSR,296000,290,0.33084995783223836,0.30712427794725383,296.0,33.1,30.7
247,Just Salad,All Other,FC,181000,90,0.31689902146345905,0.18820611352011474,181.0,31.7,18.8
212,Kura Sushi,Asian,CDR,238000,64,0.2994139495534691,0.22712958756084944,238.0,29.9,22.7
275,Teriyaki Madness,Asian/Noodle,FC,159000,158,0.29838690297574355,0.20188608610548098,159.0,29.8,20.2
123,Slim Chickens,Chicken,FC,460000,206,0.2978935634167361,0.20824622432141027,460.0,29.8,20.8
199,Hook & Reel,Seafood,CDR,222000,68,0.28770708951506596,0.24209900915409777,222.0,28.8,24.2
276,Din Tai Fung,Asian,CDR,412000,16,0.28151647009975345,0.0424022162772979,412.0,28.2,4.2
28,Raising Cane's,Chicken,FC,4960000,828,0.27602671151060876,0.12621894155922764,4960.0,27.6,12.6
48,Dutch Bros Coffee,Coffee Cafe,QSR,1819000,982,0.2672180358677134,0.21557554052969818,1819.0,26.7,21.6
32,Wingstop,Chicken,FC,4392000,2204,0.26107051218415167,0.12354561072776904,4392.0,26.1,12.4
