Menu_Type,Total_Sales_2024_$M,Num_Chains,HHI_2024,HHI_2023,HHI_2019,HHI_Change_5Y,HHI_Change_1Y,Concentration_2024,Top_Chain,Top_Chain_Share_%,Top3_Share_%
Burger,110257.7,35,2662.4,2661.9,2538.1,124.3,0.5,High,McDonald's,48.5,69.8
Chicken,52526.0,27,2289.3,2332.2,2065.5,223.8,-43.0,Moderate,Chick-fil-A,43.3,63.6
Coffee Cafe,50531.0,21,4506.7,4769.0,4757.3,-250.5,-262.3,High,Starbucks,62.3,90.5
Sandwich,34923.0,53,1416.9,1302.0,1549.9,-133.0,115.0,Unconcentrated,Subway,27.2,57.2
Mexican,33668.0,38,3465.7,2963.0,2749.8,715.9,502.7,High,Taco Bell,48.1,85.1
Pizza,29390.0,34,1822.9,1613.2,1578.8,244.1,209.7,Moderate,Domino's,32.3,66.2
Varied Menu,20801.0,59,1193.8,854.1,781.2,412.6,339.7,Unconcentrated,Chili's Grill & Bar,22.0,54.3
Steak,16234.0,24,1860.7,1615.9,1374.9,485.8,244.8,Moderate,Texas Roadhouse,33.8,69.1
Family Style,16071.0,31,1288.5,1089.5,1093.0,195.5,199.0,Unconcentrated,IHOP,20.8,54.6
Other Beverage/Snack,8210.0,27,998.3,815.1,786.1,212.2,183.2,Unconcentrated,Tropical Smoothie Cafe,17.3,42.6
Sports Bar,7981.0,30,2893.3,1893.8,2106.8,786.5,999.6,High,Buffalo Wild Wings,50.8,66.8
Italian/Pizza,7976.4,24,4374.9,2998.8,2506.3,1868.6,1376.0,High,Olive Garden,64.6,80.4
Asian/Noodle,7820.0,15,6377.7,5175.6,4726.6,1651.1,1202.0,High,Panda Express,79.3,90.0
Frozen Desserts,7036.0,19,5072.6,3912.4,3688.8,1383.9,1160.3,High,Dairy Queen,69.8,87.9
All Other,4378.0,27,1133.9,652.8,695.1,438.8,481.1,Unconcentrated,Cava,21.8,49.8
Seafood,3496.0,20,2774.2,2057.8,2595.5,178.7,716.4,High,Red Lobster,48.1,71.0
Asian,3355.0,16,1562.9,1299.2,1758.9,-196.0,263.6,Moderate,P.F. Chang's,28.8,56.6
