Menu_Type,Sales_2024,Sales_2023,Sales_2019,Units_2024,Units_2023,Avg_AUV,Avg_5Y_CAGR,Chain_Count,YoY_Sales_Growth_%,5Y_Sales_CAGR_%
Burger,110257667,109483059,86508410,43422,43604,1950.6069584179315,-0.021611367211513688,35,0.7075140273528513,4.971183520660083
Chicken,52526000,48982716,30699649,17703,17607,2590.0517582212447,-0.15056656148277117,27,7.23374342900871,11.33922240334293
Coffee Cafe,50531016,49023598,34985642,32209,30844,1203.1013808000014,0.16228265003027192,21,3.0748824270303565,7.6300734204124865
Sandwich,34923000,37770932,32664912,37322,39808,1762.6201040831654,-0.5073082949729175,53,-7.5400098679058285,1.345859513649339
Mexican,33668000,33088844,24242800,14600,15506,2727.555453510839,-0.531045769549561,38,1.7503059339274651,6.789095477392038
Pizza,29390000,30546777,25808657,27862,29495,1040.9995713600163,-0.4519420656086138,34,-3.7869036068846174,2.632955659334746
Varied Menu,20801000,24122686,22836866,5231,6401,5046.759871923592,-0.5713975473678827,59,-13.769967407443762,-1.850172177691467
Steak,16234000,15965167,12538907,2684,2810,7885.844477029634,-0.34451358316575814,24,1.683872144901466,5.3011640401935844
Family Style,16071000,17500345,16944415,8305,9143,2247.676720213981,-0.4736877236739915,31,-8.167524697370254,-1.0528557693900042
Other Beverage/Snack,8210000,8275331,4856747,9975,11172,999.5364916371617,-0.3504378117208965,27,-0.7894669107495478,11.07070674665871
Sports Bar,7981000,9750905,8558852,2353,3019,4060.0248327125664,-0.6458863793797048,30,-18.151186992386858,-1.38831974814434
Italian/Pizza,7976365,9610003,9121284,1684,2353,4485.6719225031675,-0.6230397854152759,24,-16.999349531940833,-2.6468948534867143
Asian/Noodle,7820000,8258358,5835130,3781,4344,1511.6787006391603,-0.48794267254566037,15,-5.308052763031101,6.030605962546343
Frozen Desserts,7036000,8113768,6349158,8846,10931,714.9654628008144,-0.6088316365657152,19,-13.283199618229158,2.0755994902792896
All Other,4378000,5197312,3568609,3027,3883,1742.5199015932355,-0.44619206696693325,27,-15.764148852329818,4.173044830468253
Seafood,3496000,5145566,5143594,891,1393,6207.769187543237,-0.5797003033910769,20,-32.058008778820444,-7.43198550480777
Asian,3355000,3542906,2654839,759,946,6994.437936454375,-0.3045923996003245,16,-5.303725247014734,4.792660659756476
