Segment,Sales,Units,Year,AUV
FSR,79754663,27437,2019,2906.828844261399
LSR,253563808,200254,2019,1266.2109520908446
FSR,56672527,26324,2020,2152.88432609026
LSR,249407337,197544,2020,1262.5406846069736
FSR,76068121,26374,2021,2884.208728293016
LSR,287151824,199381,2021,1440.2165903471243
FSR,83658674,26527,2022,3153.717872356467
LSR,310425509,202754,2022,1531.045054598183
FSR,87850923,26653,2023,3296.098863167373
LSR,336527350,206606,2023,1628.836287426309
FSR,77169365,22225,2024,3472.187401574803
LSR,337484683,198429,2024,1700.783065983299
