Menu Type,Avg_AUV,Total_Units,Total_Sales,Chain_Count
Steak,7885.844477029634,2684,16234000,15
Asian,6994.437936454375,759,3355000,9
Seafood,6207.769187543237,891,3496000,8
Varied Menu,5046.759871923592,5231,20801000,25
Italian/Pizza,4485.6719225031675,1684,7976365,9
Sports Bar,4060.0248327125664,2353,7981000,10
Mexican,2727.555453510839,14600,33668000,17
Chicken,2590.0517582212447,17703,52526000,19
Family Style,2247.676720213981,8305,16071000,16
Burger,1950.6069584179315,43422,110257667,33
Sandwich,1762.6201040831654,37322,34923000,25
All Other,1742.5199015932355,3027,4378000,13
Asian/Noodle,1511.6787006391603,3781,7820000,7
Coffee Cafe,1203.1013808000014,32209,50531016,21
Pizza,1040.9995713600163,27862,29390000,18
