window,indicator,lag_months,n_obs,corr_vs_gas,r_squared_vs_gas
inflation_surge_2021_2022,casual_dining,-3,21,-0.626924405527423,0.39303421024591273
inflation_surge_2021_2022,casual_dining,-2,22,-0.47646386864380647,0.22701781812302246
inflation_surge_2021_2022,casual_dining,-1,23,0.08468502723530791,0.007171553837844842
inflation_surge_2021_2022,casual_dining,0,24,0.4862839981892467,0.2364721268949193
inflation_surge_2021_2022,casual_dining,1,23,0.5629941308356029,0.31696239135533594
inflation_surge_2021_2022,casual_dining,2,22,0.3538849493355404,0.12523455736621797
inflation_surge_2021_2022,casual_dining,3,21,0.22430802855084783,0.050314091672367965
inflation_surge_2021_2022,disp_income,-3,21,-0.1315163275044787,0.0172965444002653
inflation_surge_2021_2022,disp_income,-2,22,-0.5162138260841713,0.2664767142404591
inflation_surge_2021_2022,disp_income,-1,23,-0.44508436471889734,0.19810009171722442
inflation_surge_2021_2022,disp_income,0,24,-0.3797846047289943,0.14423634598915844
inflation_surge_2021_2022,disp_income,1,23,-0.06216865632722203,0.003864941829532244
inflation_surge_2021_2022,disp_income,2,22,0.09863835225950111,0.009729524536469428
inflation_surge_2021_2022,disp_income,3,21,0.13816617881375293,0.01908989296799395
inflation_surge_2021_2022,fast_casual,-3,21,-0.6947176879237802,0.4826326659141629
inflation_surge_2021_2022,fast_casual,-2,22,-0.5787605793111188,0.33496380816454185
inflation_surge_2021_2022,fast_casual,-1,23,0.014040962305240937,0.0001971486224571969
inflation_surge_2021_2022,fast_casual,0,24,0.4432879675978692,0.19650422221704952
inflation_surge_2021_2022,fast_casual,1,23,0.524556248931483,0.275159258293068
inflation_surge_2021_2022,fast_casual,2,22,0.28459688726052873,0.08099538823838211
inflation_surge_2021_2022,fast_casual,3,21,0.13698449056779816,0.018764750656119183
inflation_surge_2021_2022,qsr,-3,21,-0.7640813421038177,0.5838202973511714
inflation_surge_2021_2022,qsr,-2,22,-0.6480554282544878,0.4199758380901076
inflation_surge_2021_2022,qsr,-1,23,-0.08783394005670345,0.007714801025884574
inflation_surge_2021_2022,qsr,0,24,0.2851288973781083,0.08129848812005583
inflation_surge_2021_2022,qsr,1,23,0.38908937210092276,0.15139053948189032
inflation_surge_2021_2022,qsr,2,22,0.20445787215506359,0.041803021486176324
inflation_surge_2021_2022,qsr,3,21,0.1264980181444478,0.016001748594473047
oil_collapse_2014_2016,casual_dining,-3,17,0.4909810252596009,0.24106236716496887
oil_collapse_2014_2016,casual_dining,-2,18,0.49903275607888176,0.2490336916396847
oil_collapse_2014_2016,casual_dining,-1,19,0.26464764359585247,0.07003837526083735
oil_collapse_2014_2016,casual_dining,0,20,-0.3018731534978874,0.09112740080275909
oil_collapse_2014_2016,casual_dining,1,19,-0.3418604283795762,0.11686855249186735
oil_collapse_2014_2016,casual_dining,2,18,-0.45035575494884944,0.20282030601554812
oil_collapse_2014_2016,casual_dining,3,17,-0.7122712175213228,0.5073302873093076
oil_collapse_2014_2016,disp_income,-3,17,0.6143886802250167,0.37747345038863783
oil_collapse_2014_2016,disp_income,-2,18,0.34420164209973486,0.11847477042415397
oil_collapse_2014_2016,disp_income,-1,19,-0.05947876716506213,0.0035377237434756734
oil_collapse_2014_2016,disp_income,0,20,-0.3120738342141207,0.0973900780011025
oil_collapse_2014_2016,disp_income,1,19,-0.5291306095306132,0.27997920194223824
oil_collapse_2014_2016,disp_income,2,18,-0.6678580250903666,0.44603434167760475
oil_collapse_2014_2016,disp_income,3,17,-0.6194859905645985,0.38376289250580187
oil_collapse_2014_2016,fast_casual,-3,14,0.23112248850130396,0.05341760469103538
oil_collapse_2014_2016,fast_casual,-2,14,0.017386231796441737,0.0003022810560796017
oil_collapse_2014_2016,fast_casual,-1,14,0.1142788592866958,0.013059657679868419
oil_collapse_2014_2016,fast_casual,0,14,-0.441118238463785,0.1945853003053927
oil_collapse_2014_2016,fast_casual,1,13,-0.17400783722597488,0.030278727416061368
oil_collapse_2014_2016,fast_casual,2,12,0.06935946260693736,0.004810735053123141
oil_collapse_2014_2016,fast_casual,3,11,-0.1696053936447959,0.028765989553406174
oil_collapse_2014_2016,qsr,-3,17,0.4380406805308134,0.19187963779989814
oil_collapse_2014_2016,qsr,-2,18,0.6709888421394116,0.45022602627558816
oil_collapse_2014_2016,qsr,-1,19,0.6891037082505804,0.47486392072470107
oil_collapse_2014_2016,qsr,0,20,0.3496927477112187,0.12228501780182206
oil_collapse_2014_2016,qsr,1,19,0.17425754256259274,0.03036569113995382
oil_collapse_2014_2016,qsr,2,18,0.05059355765684475,0.002559708076376474
oil_collapse_2014_2016,qsr,3,17,-0.2952210214439034,0.08715545150238166
