indicator,lag_months,n_obs,corr_vs_gas,r_squared_vs_gas
casual_dining,-3,155,0.21532561079317683,0.04636511866345467
casual_dining,-2,156,0.3206185697019954,0.1027962672377533
casual_dining,-1,157,0.44649303351255465,0.19935602897524324
casual_dining,0,158,0.5508302053345063,0.3034139151088544
casual_dining,1,157,0.5677141017542157,0.3222993013305959
casual_dining,2,156,0.49524638092557416,0.24526897781987891
casual_dining,3,155,0.4360590847389906,0.19014752538340615
disp_income,-3,154,-0.43280727641507094,0.1873221385178316
disp_income,-2,155,-0.4597110355934866,0.21133423624643588
disp_income,-1,156,-0.4655101101642229,0.21669966266510693
disp_income,0,157,-0.4371909459463536,0.19113592321746747
disp_income,1,157,-0.336153388680319,0.11299910072126164
disp_income,2,156,-0.2703678637367524,0.07309878174157512
disp_income,3,155,-0.23442840680282465,0.05495667791611064
fast_casual,-3,134,0.22160928854540513,0.049110676769600625
fast_casual,-2,134,0.30218954131051357,0.09131851887745858
fast_casual,-1,134,0.416111071807746,0.17314842408099113
fast_casual,0,134,0.5164503329264499,0.26672094637984095
fast_casual,1,133,0.5345076217781423,0.2856983977389256
fast_casual,2,132,0.4530109320715499,0.2052189045763344
fast_casual,3,131,0.3873613392002084,0.1500488071069789
qsr,-3,155,-0.0731664179002241,0.005353324708350234
qsr,-2,156,0.01963344901172786,0.0003854723200961176
qsr,-1,157,0.15306256666032386,0.023428149312646085
qsr,0,158,0.27177999657574137,0.07386436653871
qsr,1,157,0.2933007265734345,0.08602531620850458
qsr,2,156,0.21166900649014517,0.044803768308525116
qsr,3,155,0.15783339125057122,0.024911379393655893
