date,trips
2020-01-06,221021
2020-01-07,228907
2020-01-08,249821
2020-01-09,264996
2020-01-10,344814
2020-01-11,368311
2020-01-12,261771
2020-01-13,254140
2020-01-14,252878
2020-01-15,271510
2020-01-16,311118
2020-01-17,339103
2020-01-18,385828
2020-01-19,318617
2020-01-20,234642
2020-01-21,254942
2020-01-22,266237
2020-01-23,293290
2020-01-24,355472
2020-01-25,375378
2020-01-26,266717
2020-01-27,242171
2020-01-28,244058
2020-01-29,255182
2020-01-30,281744
2020-01-31,341933
2020-02-01,358445
2020-02-02,290259
2020-02-03,236953
2020-02-04,248463
2020-02-05,272883
2020-02-06,298707
2020-02-07,346339
2020-02-08,373556
2020-02-09,273520
2020-02-10,246152
2020-02-11,254728
2020-02-12,279621
2020-02-13,339364
2020-02-14,434950
2020-02-15,436863
2020-02-16,335814
2020-02-17,253639
2020-02-18,253849
2020-02-19,280160
2020-02-20,317052
2020-02-21,367342
2020-02-22,383050
2020-02-23,274730
2020-02-24,248933
2020-02-25,268902
2020-02-26,290960
2020-02-27,317874
2020-02-28,381117
2020-02-29,399461
2020-03-01,288872
2020-03-02,250251
2020-03-03,256751
2020-03-04,265137
2020-03-05,290173
2020-03-06,353727
2020-03-07,371954
2020-03-08,270394
2020-03-09,254365
2020-03-10,247466
2020-03-11,252835
2020-03-12,258689
2020-03-13,294185
2020-03-14,365633
2020-03-15,200115
2020-03-16,146828
2020-03-17,103921
2020-03-18,91614
2020-03-19,86224
2020-03-20,92530
2020-03-21,70609
2020-03-22,49592
2020-03-23,51552
2020-03-24,49357
2020-03-25,50529
2020-03-26,52068
2020-03-27,59866
2020-03-28,54422
2020-03-29,45139
2020-03-30,47006
2020-03-31,44042
2020-04-01,49592
2020-04-02,49062
2020-04-03,56772
2020-04-04,50585
2020-04-05,42127
2020-04-06,43945
2020-04-07,45790
2020-04-08,45941
2020-04-09,46631
2020-04-10,53529
2020-04-11,52100
2020-04-12,44148
2020-04-13,47460
2020-04-14,47044
2020-04-15,55051
2020-04-16,55726
2020-04-17,61917
2020-04-18,56671
2020-04-19,47402
2020-04-20,53163
2020-04-21,50757
2020-04-22,50957
2020-04-23,52286
2020-04-24,59391
2020-04-25,57009
2020-04-26,47057
2020-04-27,52030
2020-04-28,52528
2020-04-29,58555
2020-04-30,58214
2020-05-01,66768
2020-05-02,65562
2020-05-03,52213
2020-05-04,56134
