year,month_num,month_start,trips_chicago_tnp
2020,1,2020-01-01,7484601
2020,2,2020-02-01,9063686
2020,3,2020-03-01,5315846
2020,4,2020-04-01,1543440
2020,5,2020-05-01,1912247
2020,6,2020-06-01,2661406
2020,7,2020-07-01,3419835
2020,8,2020-08-01,3505037
2020,9,2020-09-01,3629417
2020,10,2020-10-01,3996156
2020,11,2020-11-01,3004900
2020,12,2020-12-01,3126759
2021,1,2021-01-01,3350107
2021,2,2021-02-01,3254593
2021,3,2021-03-01,3851588
2021,4,2021-04-01,3786301
2021,5,2021-05-01,4079031
2021,6,2021-06-01,4111464
2021,7,2021-07-01,4504647
2021,8,2021-08-01,4331781
2021,9,2021-09-01,4343273
2021,10,2021-10-01,5261292
2021,11,2021-11-01,4886344
2021,12,2021-12-01,5020836
2022,1,2022-01-01,4688258
2022,2,2022-02-01,4700944
2022,3,2022-03-01,5817124
2022,4,2022-04-01,5601451
2022,5,2022-05-01,5789343
2022,6,2022-06-01,5722947
2022,7,2022-07-01,6060123
2022,8,2022-08-01,5831177
2022,9,2022-09-01,5796792
2022,10,2022-10-01,6628722
2022,11,2022-11-01,5973610
2022,12,2022-12-01,6245959
2023,1,2023-01-01,6161697
2023,2,2023-02-01,6137213
2023,3,2023-03-01,7084558
2023,4,2023-04-01,6688983
2023,5,2023-05-01,6985706
2023,6,2023-06-01,6972963
2023,7,2023-07-01,7116010
2023,8,2023-08-01,7136839
2023,9,2023-09-01,7130636
2023,10,2023-10-01,7549415
2023,11,2023-11-01,7002728
2023,12,2023-12-01,7397157
2024,1,2024-01-01,7041736
2024,2,2024-02-01,7064102
2024,3,2024-03-01,7955382
2024,4,2024-04-01,7355816
2024,5,2024-05-01,7718568
2024,6,2024-06-01,7592916
2024,7,2024-07-01,7487579
2024,8,2024-08-01,7848388
2024,9,2024-09-01,7398318
2024,10,2024-10-01,7829684
2024,11,2024-11-01,7585060
2024,12,2024-12-01,7763894
2025,1,2025-01-01,7607290
2025,2,2025-02-01,7288575
2025,3,2025-03-01,8037030
2025,4,2025-04-01,7533775
2025,5,2025-05-01,8084484
2025,6,2025-06-01,7689825
2025,7,2025-07-01,8037494
2025,8,2025-08-01,8216743
2025,9,2025-09-01,7495319
2025,10,2025-10-01,8152154
