Market,Volume,date
American Football,657700968,2025-09-22
American Football,638176950,2025-09-29
American Football,633807745,2025-10-13
American Football,620422947,2025-11-03
American Football,607922483,2025-11-10
American Football,572345151,2025-10-27
American Football,567037229,2025-10-06
American Football,546264175,2025-10-20
American Football,532113874,2025-09-15
American Football,402143238,2025-09-08
Basketball,364845831,2025-11-10
American Football,344285708,2025-09-01
Basketball,337438254,2025-11-17
American Football,329566559,2025-11-17
Basketball,315683605,2025-11-03
Basketball,275541841,2025-10-27
Basketball,248567645,2025-10-20
Basketball,232140793,2025-11-24
Basketball,200693311,2025-03-17
MLB,177147431,2025-10-06
Basketball,174662006,2025-03-24
American Football,145487137,2025-08-25
MLB,143172303,2025-09-29
MLB,133810142,2025-10-27
Tennis,131222788,2025-09-01
Basketball,124528703,2025-06-16
Tennis,120616062,2025-07-07
MLB,97146971,2025-10-13
Basketball,96777654,2025-03-31
Basketball,95527582,2025-05-19
Basketball,89950168,2025-05-26
Golf,86098385,2025-04-07
Basketball,74939562,2025-06-09
Tennis,70413914,2025-06-09
Tennis,70294832,2025-10-27
Basketball,69948054,2025-05-12
Tennis,64533660,2025-11-03
Tennis,64296076,2025-08-25
Basketball,62621906,2025-05-05
Basketball,58441722,2025-06-02
Tennis,54426192,2025-10-13
American Football,53882353,2025-11-24
Basketball,53039490,2025-04-28
Tennis,50062108,2025-11-10
Hockey,49840595,2025-10-13
MLB,48975567,2025-10-20
Tennis,48711062,2025-10-20
Golf,47422735,2025-08-04
Tennis,45736450,2025-06-02
Golf,45075629,2025-07-14
Golf,43192154,2025-09-22
Football,42478362,2025-09-15
Hockey,41705533,2025-11-10
MLB,39525329,2025-09-15
Golf,39133561,2025-07-21
Tennis,38705559,2025-06-30
Football,38644816,2025-10-20
Hockey,38289121,2025-10-20
Hockey,37669991,2025-10-27
MLB,37031938,2025-09-22
Hockey,36676903,2025-11-03
MLB,36254624,2025-07-14
Football,36016196,2025-11-03
Golf,35134074,2025-08-18
Golf,34946158,2025-05-12
Football,34499937,2025-09-29
other,34496953,2025-11-17
Golf,34476947,2025-08-11
Basketball,34437460,2025-04-21
Hockey,32369303,2025-11-17
Hockey,31828396,2025-06-09
Hockey,31446424,2025-10-06
Basketball,31222406,2025-04-07
Tennis,29489787,2025-10-06
MLB,28851496,2025-09-08
Tennis,28685240,2025-09-29
MLB,28584848,2025-08-11
MLB,28227367,2025-08-18
MLB,27577974,2025-07-28
American Football,27398553,2025-08-18
MLB,27127549,2025-07-21
MLB,26100269,2025-07-07
Boxing,25599627,2025-09-08
Tennis,25531363,2025-07-21
Tennis,25416591,2025-07-28
American Football,24712974,2025-02-03
Football,24038917,2025-09-22
MLB,23563652,2025-06-30
MLB,23331662,2025-06-02
MLB,23219251,2025-09-01
UFC,23111060,2025-07-14
other,23070864,2025-11-24
Tennis,22519038,2025-08-18
MLB,22399055,2025-08-04
Tennis,21866289,2025-08-04
Hockey,21597838,2025-06-02
MLB,21506473,2025-08-25
Tennis,21080675,2025-09-22
Golf,20957428,2025-06-02
MLB,20517185,2025-06-09
Football,20511921,2025-11-17
Tennis,19517951,2025-09-08
MLB,19155657,2025-06-16
Football,18958703,2025-10-27
Football,18388963,2025-11-24
MLB,18295103,2025-06-23
Basketball,18133993,2025-04-14
Golf,18083712,2025-07-28
Football,17943235,2025-08-25
UFC,17913764,2025-08-11
Tennis,17531875,2025-08-11
UFC,16068077,2025-11-10
Tennis,15998043,2025-09-15
Football,15541814,2025-08-18
Tennis,15015560,2025-07-14
UFC,14744282,2025-06-23
Football,14050573,2025-10-13
Football,13650708,2025-11-10
Hockey,13613893,2025-05-26
UFC,13484624,2025-09-29
Eating,13381001,2025-06-30
Football,13319185,2025-08-11
Football,12820500,2025-09-08
MLB,12698683,2025-05-19
Hockey,12617758,2025-05-19
MLB,12579104,2025-05-26
other,11682990,2025-07-07
Basketball,11454650,2025-10-13
Hockey,11322785,2025-11-24
other,11097118,2025-06-30
Basketball,10574232,2025-10-06
other,10363529,2025-11-03
Hockey,9247695,2025-06-16
Basketball,9188821,2025-09-29
MLB,8655139,2025-05-12
Hockey,8421120,2025-05-12
Hockey,8412368,2025-04-28
