id,store_number,store_code,store_nickname,drivethru,walkup_window,line1,line2,city,state,postalCode,country,lat,lon,hours,schedule
AL0101,DB878,AL0101,Zierdt,1,True,2280 Zierdt Rd SW,,Huntsville,AL,35824,US,34.64806,-86.718,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0102,DB942,AL0102,University,1,True,4314 University Dr,,Huntsville,AL,35816,US,34.735495,-86.636765,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0103,DB780,AL0103,Beltline,1,True,1805 W Beltline Road,,Decatur,AL,35601,US,34.5732,-87.0156,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0201,DB858,AL0201,Cross Roads,1,True,6565 US Hwy 431 SE,,Owens Cross Roads,AL,35763,US,34.66173,-86.48414,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0301,DB1026,AL0301,College,1,True,1105 S College St,,Auburn,AL,36830,US,32.58374,-85.49038,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0501,DB986,AL0501,Prattville,1,True,1874 E Main St,,Prattville,AL,36066,US,32.46022,-86.42037,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AL0602,DB1006,AL0602,Florence,1,True,2990 Cloverdale Rd,,Florence,AL,35633,US,34.84741,-87.68967,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-05:00"", ""end"": ""2025-09-30T22:00:00-05:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-05:00"", ""end"": ""2025-10-01T22:00:00-05:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-05:00"", ""end"": ""2025-10-02T22:00:00-05:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-05:00"", ""end"": ""2025-10-03T23:00:00-05:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-05:00"", ""end"": ""2025-10-04T23:00:00-05:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-05:00"", ""end"": ""2025-10-05T22:00:00-05:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-05:00"", ""end"": ""2025-10-06T22:00:00-05:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-05:00"", ""end"": ""2025-10-07T22:00:00-05:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-05:00"", ""end"": ""2025-10-08T22:00:00-05:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-05:00"", ""end"": ""2025-10-09T22:00:00-05:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-05:00"", ""end"": ""2025-10-10T23:00:00-05:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-05:00"", ""end"": ""2025-10-11T23:00:00-05:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-05:00"", ""end"": ""2025-10-12T22:00:00-05:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-05:00"", ""end"": ""2025-10-13T22:00:00-05:00""}]"
AZ0101,DB262,AZ0101,Regent,1,True,301 Regent St,,Flagstaff,AZ,86001,US,35.19223,-111.64285,Sun-Sat: 24hrs,"[{""date"": ""2025-10-01"", ""start"": ""2025-09-30T00:00:00-07:00"", ""end"": ""2025-10-01T00:00:00-07:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-01T00:00:00-07:00"", ""end"": ""2025-10-02T00:00:00-07:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-02T00:00:00-07:00"", ""end"": ""2025-10-03T00:00:00-07:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-03T00:00:00-07:00"", ""end"": ""2025-10-04T00:00:00-07:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-04T00:00:00-07:00"", ""end"": ""2025-10-05T00:00:00-07:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-05T00:00:00-07:00"", ""end"": ""2025-10-06T00:00:00-07:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-06T00:00:00-07:00"", ""end"": ""2025-10-07T00:00:00-07:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-07T00:00:00-07:00"", ""end"": ""2025-10-08T00:00:00-07:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-08T00:00:00-07:00"", ""end"": ""2025-10-09T00:00:00-07:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-09T00:00:00-07:00"", ""end"": ""2025-10-10T00:00:00-07:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-10T00:00:00-07:00"", ""end"": ""2025-10-11T00:00:00-07:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-11T00:00:00-07:00"", ""end"": ""2025-10-12T00:00:00-07:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-12T00:00:00-07:00"", ""end"": ""2025-10-13T00:00:00-07:00""}, {""date"": ""2025-10-14"", ""start"": ""2025-10-13T00:00:00-07:00"", ""end"": ""2025-10-14T00:00:00-07:00""}]"
AZ0102,DB350,AZ0102,Fourth,1,True,1771 N Fourth St,(4th and Route 66),Flagstaff,AZ,86004,US,35.205093,-111.612529,Sun-Sat: 05am-11pm,"[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-07:00"", ""end"": ""2025-09-30T23:00:00-07:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-07:00"", ""end"": ""2025-10-01T23:00:00-07:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-07:00"", ""end"": ""2025-10-02T23:00:00-07:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-07:00"", ""end"": ""2025-10-03T23:00:00-07:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-07:00"", ""end"": ""2025-10-04T23:00:00-07:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-07:00"", ""end"": ""2025-10-05T23:00:00-07:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-07:00"", ""end"": ""2025-10-06T23:00:00-07:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-07:00"", ""end"": ""2025-10-07T23:00:00-07:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-07:00"", ""end"": ""2025-10-08T23:00:00-07:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-07:00"", ""end"": ""2025-10-09T23:00:00-07:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-07:00"", ""end"": ""2025-10-10T23:00:00-07:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-07:00"", ""end"": ""2025-10-11T23:00:00-07:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-07:00"", ""end"": ""2025-10-12T23:00:00-07:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-07:00"", ""end"": ""2025-10-13T23:00:00-07:00""}]"
AZ0201,DB393,AZ0201,US-95,1,True,"2250 Highway 95, Suit 42",,Bullhead City,AZ,86442,US,35.10477,-114.59798,"Sun-Thu: 05am-10pm, Fri-Sat: 05am-11pm","[{""date"": ""2025-09-30"", ""start"": ""2025-09-30T05:00:00-07:00"", ""end"": ""2025-09-30T22:00:00-07:00""}, {""date"": ""2025-10-01"", ""start"": ""2025-10-01T05:00:00-07:00"", ""end"": ""2025-10-01T22:00:00-07:00""}, {""date"": ""2025-10-02"", ""start"": ""2025-10-02T05:00:00-07:00"", ""end"": ""2025-10-02T22:00:00-07:00""}, {""date"": ""2025-10-03"", ""start"": ""2025-10-03T05:00:00-07:00"", ""end"": ""2025-10-03T23:00:00-07:00""}, {""date"": ""2025-10-04"", ""start"": ""2025-10-04T05:00:00-07:00"", ""end"": ""2025-10-04T23:00:00-07:00""}, {""date"": ""2025-10-05"", ""start"": ""2025-10-05T05:00:00-07:00"", ""end"": ""2025-10-05T22:00:00-07:00""}, {""date"": ""2025-10-06"", ""start"": ""2025-10-06T05:00:00-07:00"", ""end"": ""2025-10-06T22:00:00-07:00""}, {""date"": ""2025-10-07"", ""start"": ""2025-10-07T05:00:00-07:00"", ""end"": ""2025-10-07T22:00:00-07:00""}, {""date"": ""2025-10-08"", ""start"": ""2025-10-08T05:00:00-07:00"", ""end"": ""2025-10-08T22:00:00-07:00""}, {""date"": ""2025-10-09"", ""start"": ""2025-10-09T05:00:00-07:00"", ""end"": ""2025-10-09T22:00:00-07:00""}, {""date"": ""2025-10-10"", ""start"": ""2025-10-10T05:00:00-07:00"", ""end"": ""2025-10-10T23:00:00-07:00""}, {""date"": ""2025-10-11"", ""start"": ""2025-10-11T05:00:00-07:00"", ""end"": ""2025-10-11T23:00:00-07:00""}, {""date"": ""2025-10-12"", ""start"": ""2025-10-12T05:00:00-07:00"", ""end"": ""2025-10-12T22:00:00-07:00""}, {""date"": ""2025-10-13"", ""start"": ""2025-10-13T05:00:00-07:00"", ""end"": ""2025-10-13T22:00:00-07:00""}]"
