window,lag_months,n_obs,corr_vs_gas,r_squared_vs_gas
full_sample,-6,407,-0.1621697903770956,0.026299040910951133
full_sample,-3,410,-0.24744790853874268,0.061230467440197965
full_sample,-2,411,-0.27117727466346325,0.07353711429390339
full_sample,-1,412,-0.28720161553158746,0.08248476796395378
full_sample,0,413,-0.27751705853669933,0.0770157177788618
full_sample,1,412,-0.21282182147678383,0.045293127696696044
full_sample,2,411,-0.16877625086334683,0.028485422855487382
full_sample,3,410,-0.14986107373438895,0.022458341420823962
full_sample,6,407,-0.08724373450967605,0.00761146921119484
iraq_war_2003,-6,7,0.8482907363976571,0.7195971734580793
iraq_war_2003,-3,10,-0.7033566276129919,0.49471054560712097
iraq_war_2003,-2,11,-0.8033246100873588,0.645330429172007
iraq_war_2003,-1,12,-0.6906100165964563,0.4769421950233576
iraq_war_2003,0,13,-0.14440726617024313,0.020853458522763445
iraq_war_2003,1,12,0.18753480043512544,0.035169301374242325
iraq_war_2003,2,11,0.6882381127782538,0.47367169988057234
iraq_war_2003,3,10,0.8875765856176512,0.7877921953366877
iraq_war_2003,6,7,-0.5520355127854306,0.3047432073762733
libya_arab_spring_2011,-6,7,-0.7184179640610576,0.5161243710856351
libya_arab_spring_2011,-3,10,-0.6356324260334026,0.4040285810251091
libya_arab_spring_2011,-2,11,-0.8024550286323416,0.6439340729773322
libya_arab_spring_2011,-1,12,-0.7441037472152977,0.5536903866198477
libya_arab_spring_2011,0,13,-0.41486760884415097,0.17211513286806346
libya_arab_spring_2011,1,12,-0.05370505337789934,0.0028842327583230173
libya_arab_spring_2011,2,11,0.3010809365734282,0.09064973036793271
libya_arab_spring_2011,3,10,0.5370824685688074,0.28845757804396394
libya_arab_spring_2011,6,7,0.8913341353803459,0.7944765408942288
oil_spike_2007_2008,-6,15,0.041933154244224925,0.0017583894248699588
oil_spike_2007_2008,-3,18,-0.24575369464812905,0.06039487843320585
oil_spike_2007_2008,-2,19,-0.45884720709757654,0.21054075946124629
oil_spike_2007_2008,-1,20,-0.6001813667143137,0.36021767295106144
oil_spike_2007_2008,0,21,-0.5652023365570343,0.3194536812495311
oil_spike_2007_2008,1,20,-0.29835059467594127,0.08901307734348779
oil_spike_2007_2008,2,19,-0.16997153901051507,0.028890324073603046
oil_spike_2007_2008,3,18,-0.14878333663242024,0.022136481259476083
oil_spike_2007_2008,6,15,-0.26002670430807684,0.06761388695332003
russia_ukraine_2022,-6,9,-0.018657679223307043,0.0003481089939998233
russia_ukraine_2022,-3,12,-0.2994781972349638,0.0896871906191039
russia_ukraine_2022,-2,13,-0.24382048646611224,0.05944842962057162
russia_ukraine_2022,-1,14,-0.16448197799297634,0.027054321084481952
russia_ukraine_2022,0,15,-0.22036501242409906,0.04856073870067333
russia_ukraine_2022,1,14,-0.1398196188395641,0.019549525812440984
russia_ukraine_2022,2,13,-0.31240258083989675,0.09759537251542823
russia_ukraine_2022,3,12,-0.35112360287876265,0.12328778449856302
russia_ukraine_2022,6,9,0.42902444679698454,0.1840619759494586
