window,lag_months,n_obs,corr_vs_gas,r_squared_vs_gas
full_sample,-6,378,0.1348444095842689,0.018183014796130072
full_sample,-3,381,0.19489206811617177,0.03798291821459854
full_sample,-2,382,0.24082643434638892,0.05799737147999558
full_sample,-1,383,0.31267550575448005,0.09776597189881989
full_sample,0,384,0.3703727149272555,0.13717594796258606
full_sample,1,383,0.36217845112478014,0.13117323045914475
full_sample,2,382,0.3010648746116215,0.09064005872491139
full_sample,3,381,0.2612749938396568,0.0682646224059127
full_sample,6,378,0.20529294139715415,0.042145191787495366
iraq_war_2003,-6,7,0.7659454634362849,0.5866724529586252
iraq_war_2003,-3,10,0.25444936312589855,0.06474447839517539
iraq_war_2003,-2,11,-0.2786562879264479,0.07764932680094745
iraq_war_2003,-1,12,-0.5813450869882104,0.33796211016532995
iraq_war_2003,0,13,-0.5828432009828237,0.33970619693190424
iraq_war_2003,1,12,-0.4362445389016712,0.1903092977215317
iraq_war_2003,2,11,-0.24721372211607415,0.061114624402483525
iraq_war_2003,3,10,0.19158906348595942,0.036706369247426984
iraq_war_2003,6,7,0.1504178109218793,0.022625517842530234
libya_arab_spring_2011,-6,7,0.2816702686174883,0.07933814022304801
libya_arab_spring_2011,-3,10,0.2209491490703812,0.04881852647492554
libya_arab_spring_2011,-2,11,-0.06924148588201832,0.004794383367149743
libya_arab_spring_2011,-1,12,0.13755448914180338,0.018921237483062504
libya_arab_spring_2011,0,13,0.05631208366160634,0.0031710507663117514
libya_arab_spring_2011,1,12,0.08093920090407417,0.00655115424299008
libya_arab_spring_2011,2,11,-0.12789427620204608,0.01635694588524525
libya_arab_spring_2011,3,10,-0.5774538928216497,0.3334529983348773
libya_arab_spring_2011,6,7,-0.338425926531554,0.1145321077487408
oil_spike_2007_2008,-6,15,-0.46043548099048087,0.21200083215493548
oil_spike_2007_2008,-3,18,-0.2689364843854643,0.07232683263361309
oil_spike_2007_2008,-2,19,-0.4151259823253734,0.17232958120160624
oil_spike_2007_2008,-1,20,-0.37551685902370097,0.1410129114110261
oil_spike_2007_2008,0,21,-0.3467676986232438,0.12024783680846084
oil_spike_2007_2008,1,20,-0.3900690797203694,0.15215388695389592
oil_spike_2007_2008,2,19,-0.3649876967110309,0.13321601875042346
oil_spike_2007_2008,3,18,-0.2399399518898421,0.05757118051289974
oil_spike_2007_2008,6,15,0.1306922476840759,0.01708046360471584
russia_ukraine_2022,-6,9,0.45673654113879003,0.20860826801142565
russia_ukraine_2022,-3,12,0.46620824109159,0.21735012406171408
russia_ukraine_2022,-2,13,0.35430106354735524,0.12552924363078705
russia_ukraine_2022,-1,14,0.41203988189088997,0.16977686426865857
russia_ukraine_2022,0,15,0.4367758093889571,0.1907731076673786
russia_ukraine_2022,1,14,0.49724913138893123,0.24725669866704658
russia_ukraine_2022,2,13,0.5015370941884115,0.25153945684695556
russia_ukraine_2022,3,12,0.666201213114753,0.44382405635556854
russia_ukraine_2022,6,9,0.8292227911157034,0.6876104373057175
