store_number,longitude,latitude,name,address,city,state,zipcode,phone,hours_today,open_status,has_drive_thru,has_wifi,has_indoor_dining,has_24_hours,timezone
1183,-81.756906,24.571897,KEY WEST-ROOSVLT,3704 N Roosevelt Blvd,Key West,FL,33040,(305) 293-7606,04:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10927,-81.073326,24.716418,MARATHON,5595 Overseas Hwy,Marathon,FL,33050,(305) 743-0707,05:30 - 00:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
5090,-80.522609,25.004612,TAVERNIER,91400 Overseas Hwy,Tavernier,FL,33070,(305) 852-2463,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
37956,-80.427325,25.108703,KEY LARGO,101000 Overseas Hwy,Key Largo,FL,33037,(305) 451-5861,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
1108,-80.459808,25.485196,HOMESTEAD,30335 S Dixie Hwy,Homestead,FL,33033,(305) 247-6484,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
31056,-80.473083,25.457704,FLORIDA CITY W*M,33501 S Dixie Hwy # 2727,Homestead,FL,33034,(305) 247-2979,06:00 - 23:00,OPEN,0,0,0,0,(GMT-05:00) Eastern Time (US & Canada)
10537,-80.474594,25.442581,FLORIDA CITY,425 Se 1st Ave,Homestead,FL,33034,(305) 248-9285,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
31341,-80.434625,25.477004,"HOMESTEAD, CAMPB",2880 Ne 8th St,Homestead,FL,33033,(305) 242-9774,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
6103,-80.426093,25.519399,NARANJA,26601 S Dixie Hwy,Homestead,FL,33032,(305) 258-0341,06:00 - 21:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
36983,-80.411901,25.499222,NORTH HOMESTEAD,13690 Biscayne Dr,Homestead,FL,33033,(305) 247-2704,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
32830,-80.414039,25.598176,EUREKA & 137TH,18340 Sw 137th Ave,Miami,FL,33177,(305) 235-5573,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
34014,-80.371613,25.550276,SIVLER PALMS,23351 Sw 112th Ave,Homestead,FL,33032,(305) 258-7837,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7088,-80.379254,25.592569,QUAIL ROOST,11575 Quail Roost Road,South Miami Heights,FL,33157,(502) 856-8913,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
12215,-80.36734,25.579132,CARIBBEAN,10855 Caribbean Blvd,Cutler Ridge,FL,33157,(305) 254-3487,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
11810,-80.415527,25.625854,COUNTRY WALK,13708 Sw 152nd St,Miami,FL,33177,(305) 232-2860,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
1856,-80.352328,25.600886,PERRINE,18295 S Dixie Hwy,Miami,FL,33157,(305) 238-7129,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
16795,-80.336189,25.578119,OLD CUTLER/FRANJ,20315 Old Cutler Rd,Cutler Bay,FL,33189,(305) 235-5600,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
5543,-80.376025,25.627942,CORAL REEF,11207 Sw 152nd St,Miami,FL,33157-1101,(305) 255-3594,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10946,-80.443349,25.670286,MIAMI- S. W. 104,15295 Sw 104th St,Miami,FL,33196,(305) 388-0560,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
38522,-80.407332,25.664239,SOUTH KENDALL,11115 Sw 132nd Ave,Miami,FL,33186,(305) 387-7007,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
12309,-80.383886,25.65558,SNAPPER CREEK,12198 Sw 117th Ave,Miami,FL,33186,(786) 562-8426,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
17014,-80.446643,25.684779,KENDALL/SW 157,15715 Sw 88th St,Miami,FL,33196,(305) 387-4249,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
18735,-80.336198,25.636053,KING'S BAY,14401 S Dixie Hwy,Miami,FL,33176,(305) 964-5318,06:00 - 22:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
4664,-80.403456,25.686063,KENDALL-LAKES,13101 Sw 88th St,Miami,FL,33186,(305) 386-3998,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7230,-80.382764,25.685984,SUMMIT,11500 N Kendall Dr,Miami,FL,33176,(305) 595-2347,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
1167,-80.329566,25.652864,SUNILAND,12647 S Dixie Hwy,Pinecrest,FL,33156,(305) 233-0058,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
35786,-80.447512,25.712198,MILLER CROSSINGS,5700 Sw 157th Ave,Miami,FL,33193,(305) 383-1447,06:00 - 00:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
5859,-80.415976,25.714164,MILLER ROAD,13702 Sw 56th St,Miami,FL,33175,(305) 387-1356,05:00 - 01:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
15144,-80.431431,25.729033,BIRD & 147TH,14699 Sw 42nd St,Miami,FL,33175,(305) 226-2422,06:00 - 01:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
3383,-80.349437,25.702003,SUNSET,9681 Sw 72nd St,Miami,FL,33173,(305) 598-4933,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7295,-80.378134,25.732613,MIAMI-BIRD RD,11301 Sw 40th St,Miami,FL,33165,(305) 223-0179,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
11333,-80.345713,25.716621,MILLER & 93,9341 Sw 56th St,Miami,FL,33165,(305) 270-1943,05:30 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
26474,-80.39174,25.744692,WEST CORAL WAY,12185 Sw 26th St,Miami,FL,33175,(305) 229-2005,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
31617,-80.43208,25.760479,SW 8TH & SW 147T,14670 Sw 8th St,Miami,FL,33184,(305) 228-4343,05:30 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
792,-80.292742,25.701277,UNIVERSITY,6150 S Dixie Hwy,Miami,FL,33143-5003,(305) 661-7131,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7266,-80.390492,25.76053,TAMIAMI,11990 Sw 8th St,Miami,FL,33184,(305) 221-8542,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
6961,-80.323661,25.733566,TROPICAL PARK,7901 Bird Rd,Miami,FL,33155,(305) 264-1244,06:00 - 00:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
11487,-80.336076,25.748622,WESTCHESTER,2300 Sw 87th Ave,Miami,FL,33165,(305) 220-0024,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
2263,-80.354963,25.761217,FIU,9850 Sw 8th St,Miami,FL,33174,(305) 223-8687,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10408,-80.303266,25.733056,CROSSROADS,6700 Bird Rd,Miami,FL,33155,(305) 667-3551,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
6431,-80.366668,25.768213,SWEETWATER,10530 W Flagler St,Sweetwater,FL,33174-1631,(305) 552-8401,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
14782,-80.274593,25.715959,CORAL GABLES,1148 S Dixie Hwy,Coral Gables,FL,33146,(305) 666-9919,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
26889,-80.326046,25.770176,MIDWAY,7993 W Flagler St,Miami,FL,33144,(305) 265-0177,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
1098,-80.313,25.763141,MIAMI-SW 8TH,7215 Sw 8th St,Miami,FL,33144,(305) 261-3441,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10424,-80.332566,25.783395,TRADEWINDS,8403 Nw 12th St,Doral,FL,33126,(305) 477-3163,05:30 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
23752,-80.381169,25.811162,MIAMI,11390 Nw 41st St,Doral,FL,33178,(305) 471-6809,05:30 - 01:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
7147,-80.246245,25.736552,GROVE,3200 S Dixie Hwy,Miami,FL,33133,(786) 489-1703,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
26184,-80.336426,25.796169,87TH AVE. & 25TH,2405 Nw 87th Ave,Doral,FL,33172,(305) 468-1822,05:30 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
1789,-80.248185,25.749746,CORAL WAY,3280 Coral Way,Miami,FL,33145,(305) 444-5466,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
11599,-80.286927,25.777626,7 & 57,5650 Nw 7th Ave,Miami,FL,33127,(305) 262-3961,06:00 - 01:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
2287,-80.26286,25.763235,MIAMI-LEJEUNE,4180 Sw 9th St,Miami,FL,33134,(305) 443-9366,06:00 - 23:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
13051,-80.351324,25.812111,DORAL,9501 Nw 41st St,Doral,FL,33178,(305) 594-7530,05:30 - 00:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
6486,-80.31739,25.809995,MIAMI-36TH/PALM,7405 Nw 36th St,Miami,FL,33166,(305) 593-0376,05:00 - 00:00,OPEN,0,0,1,0,(GMT-05:00) Eastern Time (US & Canada)
7296,-80.241236,25.764843,MIAMI-2900 SW 8T,2940 Sw 8th St,Miami,FL,33135,(305) 541-4768,07:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10215,-80.256514,25.779265,DOUGLAS,3747 Nw 7th St,Miami,FL,33126,(305) 646-0423,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
10664,-80.132081,25.790433,MIAMI BCH/LINCLN,1650 Washington Ave,Miami Beach,FL,33139,(305) 672-8031,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
14372,-80.140924,25.789141,ALTON RD & 16TH,1601 Alton Rd,Miami Beach,FL,33139,(305) 672-7055,00:00 - 00:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
20598,-80.198866,25.766632,SW 8TH & 3RD AVE,299 Sw 8th St,Miami,FL,33130,(305) 856-6770,06:00 - 23:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
12932,-80.190172,25.778003,DOWNTOWN RELO,345 Ne 2nd Ave,Miami,FL,33132,(305) 371-8161,06:00 - 02:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
7408,-80.218683,25.765501,LITTLE HAVANA,1400 Sw 8th St,Miami,FL,33135,(305) 285-0974,05:00 - 01:00,OPEN,0,0,1,1,(GMT-05:00) Eastern Time (US & Canada)
