Opening Time,Store Count,Percentage
 5:00 AM,4729,28.57
 4:30 AM,3923,23.7
 6:00 AM,3075,18.58
 8:00 AM,1340,8.1
 7:00 AM,1213,7.33
 4:00 AM,789,4.77
 5:30 AM,459,2.77
 3:30 AM,201,1.21
 7:30 AM,199,1.2
 6:30 AM,189,1.14
#REF!,160,0.97
 10:00 A,72,0.43
 9:00 AM,71,0.43
 3:00 AM,32,0.19
 8:30 AM,22,0.13
 9:30 AM,19,0.11
Closed t,18,0.11
 3:45 AM,12,0.07
 4:15 AM,7,0.04
 4:45 AM,5,0.03
 11:00 A,4,0.02
 5:00 PM,2,0.01
 7:45 AM,2,0.01
 9:45 AM,2,0.01
 12:00 A,1,0.01
 4:00 PM,1,0.01
 2:30 AM,1,0.01
 6:45 AM,1,0.01
 5:45 AM,1,0.01
 2:00 PM,1,0.01
 7:15 AM,1,0.01
