brand,location_id,name,line1,city,region,postalCode,countryCode,lat,lng,phone,website
Raising Cane's,C334,Raising Cane's Chicken Fingers,125 South Shary Road,Mission,TX,78572,US,26.199412857584473,-98.28724226000361,+19565194604,{'url': 'https://locations.raisingcanes.com/tx/mission/125-south-shary-road'}
Raising Cane's,C230,Raising Cane's Chicken Fingers,2043 W Interstate 2,Pharr,TX,78577,US,26.1945001938112,-98.20429873758933,+19567834702,{'url': 'https://locations.raisingcanes.com/tx/pharr/2043-w-interstate-2'}
Raising Cane's,C486,Raising Cane's Chicken Fingers,7417 North 10th Street,Mcallen,TX,78501,US,26.270627646659772,-98.21917464165792,+19569949425,{'url': 'https://locations.raisingcanes.com/tx/mcallen/7417-north-10th-street'}
Raising Cane's,C347,Raising Cane's Chicken Fingers,718 West University Drive,Edinburg,TX,78539,US,26.302026080072793,-98.16980497932289,+19563164656,{'url': 'https://locations.raisingcanes.com/tx/edinburg/718-west-university-drive'}
Raising Cane's,C249,Raising Cane's Chicken Fingers,1100 North Westgate Dr.,Weslaco,TX,78596,US,26.171156655944053,-98.00646941368149,+19564470022,{'url': 'https://locations.raisingcanes.com/tx/weslaco/1100-north-westgate-dr.'}
Raising Cane's,C267,Raising Cane's Chicken Fingers,215 E. Morrison Road,Brownsville,TX,78520,US,25.967611480321704,-97.51043095643139,+19563508240,{'url': 'https://locations.raisingcanes.com/tx/brownsville/215-e.-morrison-road'}
Raising Cane's,C240,Raising Cane's Chicken Fingers,3341 Boca Chica Blvd,Brownsville,TX,78521,US,25.9213266348828,-97.46903640822012,+19565749944,{'url': 'https://locations.raisingcanes.com/tx/brownsville/3341-boca-chica-blvd'}
Raising Cane's,C394,Raising Cane's Chicken Fingers,2120 S. 77 Sunshine Strip,Harlingen,TX,78550,US,26.171565496502783,-97.67264637620656,+19564408719,{'url': 'https://locations.raisingcanes.com/tx/harlingen/2120-s.-77-sunshine-strip'}
Raising Cane's,C526,Raising Cane's Chicken Fingers,5302 McPherson Road,Laredo,TX,78041,US,27.54508852525467,-99.48312780368212,+19565230697,{'url': 'https://locations.raisingcanes.com/tx/laredo/5302-mcpherson-road'}
Raising Cane's,C677,Raising Cane's Chicken Fingers,2301 NE 8th St,Homestead,FL,33033,US,25.47814257569416,-80.44368594171621,+13057026422,{'url': 'https://locations.raisingcanes.com/fl/homestead/2301-ne-8th-st'}
Raising Cane's,C730,Raising Cane's Chicken Fingers,19705 South Dixie Highway,Cutler Bay,FL,33157,US,25.584769405608828,-80.3630112971139,+17866503091,{'url': 'https://locations.raisingcanes.com/fl/cutler-bay/19705-south-dixie-highway'}
Raising Cane's,C855,Raising Cane's Chicken Fingers,8070 NW 36th St,Doral,FL,33122,US,25.80937031380154,-80.32803165617722,+13057025695,{'url': 'https://locations.raisingcanes.com/fl/doral/8070-nw-36th-st'}
Raising Cane's,C675,Raising Cane's Chicken Fingers,1651 Washington Ave,Miami Beach,FL,33139,US,25.790903962460636,-80.13170293302504,+13057026400,"{'url': 'https://locations.raisingcanes.com/fl/miami-beach/1651-washington-ave', 'preferDisplayUrl': False}"
Raising Cane's,C1014,Raising Cane's Chicken Fingers,5600 N. University Drive,Tamarac,FL,33319,US,26.19435966030143,-80.25154145790563,+19542831692,{'url': 'https://locations.raisingcanes.com/fl/tamarac/5600-n.-university-drive'}
Raising Cane's,C697,Raising Cane's Chicken Fingers,2501 N Federal Hwy,Pompano Beach,FL,33064,US,26.262744420617548,-80.09986261490486,+17542603180,{'url': 'https://locations.raisingcanes.com/fl/pompano-beach/2501-n-federal-hwy'}
Raising Cane's,C731,Raising Cane's Chicken Fingers,1550 West Boynton Beach Boulevard,Boynton Beach,FL,33436,US,26.527041253510472,-80.094014223183,+15612371300,{'url': 'https://locations.raisingcanes.com/fl/boynton-beach/1550-west-boynton-beach-boulevard'}
Raising Cane's,C678,Raising Cane's Chicken Fingers,100 N State Rd 7,Royal Palm Beach,FL,33411,US,26.681344214869664,-80.201325299901,+15612371277,{'url': 'https://locations.raisingcanes.com/fl/royal-palm-beach/100-n-state-rd-7'}
Raising Cane's,C801,Raising Cane's Chicken Fingers,1549 NW Saint Lucie West Blvd,Port St. Lucie,FL,34986,US,27.314890889038395,-80.39417816013622,+17722243436,{'url': 'https://locations.raisingcanes.com/fl/port-st.-lucie/1549-nw-saint-lucie-west-blvd'}
Raising Cane's,C376,Raising Cane's Chicken Fingers,5425 S. Padre Island Dr. Lot# 138,Corpus Christi,TX,78411,US,27.707458967503445,-97.3711815470069,+13619060838,{'url': 'https://locations.raisingcanes.com/tx/corpus-christi/5425-s.-padre-island-dr.-lot-138'}
Raising Cane's,C1011,Raising Cane's Chicken Fingers,3044 US Route 181,Portland,TX,78374,US,27.901143573803523,-97.30404580898437,+13612499168,"{'url': 'https://locations.raisingcanes.com/tx/portland/3044-us-route-181', 'displayUrl': 'https://locations.raisingcanes.com/tx/portland/3044-us-route-181'}"
Raising Cane's,C364,Raising Cane's Chicken Fingers,2525 Southwest Military Drive,San Antonio,TX,78224,US,29.3571449,-98.53515399999999,+12109246454,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/2525-southwest-military-drive'}
Raising Cane's,C312,Raising Cane's Chicken Fingers,2322 SE Military Drive,San Antonio,TX,78223,US,29.35146614159453,-98.45630686011887,+12105322519,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/2322-se-military-drive'}
Raising Cane's,C183,Raising Cane's Chicken Fingers,8915 Potranco Rd.,San Antonio,TX,78251,US,29.44425223592153,-98.66240409042915,+12106800303,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/8915-potranco-rd.'}
Raising Cane's,C119,Raising Cane's Chicken Fingers,10938 Culebra Road,San Antonio,TX,78253,US,29.49540841415105,-98.70936138769063,+12106889814,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/10938-culebra-road'}
Raising Cane's,C516,Raising Cane's Chicken Fingers,106 Saint Cloud,San Antonio,TX,78228,US,29.4546099,-98.5502619,+12107334650,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/106-saint-cloud'}
Raising Cane's,C122,Raising Cane's Chicken Fingers,7020 Bandera Road,Leon Valley,TX,78238,US,29.49970023725809,-98.62501688910405,+12105200629,{'url': 'https://locations.raisingcanes.com/tx/leon-valley/7020-bandera-road'}
Raising Cane's,C192,Raising Cane's Chicken Fingers,8007 Fredericksburg Rd.,San Antonio,TX,78229,US,29.512894985846778,-98.56979982472657,+12106174582,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/8007-fredericksburg-rd.'}
Raising Cane's,C476,Raising Cane's Chicken Fingers,11703 Bandera Road,San Antonio,TX,78250,US,29.55061647138257,-98.66484049833726,+12105200021,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/11703-bandera-road'}
Raising Cane's,C232,Raising Cane's Chicken Fingers,1418 Austin Hwy,San Antonio,TX,78209,US,29.491255085083807,-98.43790392713275,+12108328931,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/1418-austin-hwy'}
Raising Cane's,C148,Raising Cane's Chicken Fingers,8402 Broadway St.,San Antonio,TX,78209,US,29.515186828410396,-98.46491504926347,+12108298406,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/8402-broadway-st.'}
Raising Cane's,C682,Raising Cane's Chicken Fingers,5630 Walzem Rd,San Antonio,TX,78218,US,29.509861915179425,-98.37374110812424,+12103062895,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/5630-walzem-rd'}
Raising Cane's,C228,Raising Cane's Chicken Fingers,17518 La Cantera Pkwy,San Antonio,TX,78257,US,29.607818472987375,-98.59715604926345,+12108779601,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/17518-la-cantera-pkwy'}
Raising Cane's,C110,Raising Cane's Chicken Fingers,19110 Stone Oak Parkway,San Antonio,TX,78258,US,29.623373175102454,-98.49415909589051,+12104990011,{'url': 'https://locations.raisingcanes.com/tx/san-antonio/19110-stone-oak-parkway'}
Raising Cane's,C285,Raising Cane's Chicken Fingers,7925 Pat Booker Rd.,Live Oak,TX,78233,US,29.563603539523815,-98.33320520699677,+12106460021,{'url': 'https://locations.raisingcanes.com/tx/live-oak/7925-pat-booker-rd.'}
Raising Cane's,C112,Raising Cane's Chicken Fingers,6027 FM 3009,Schertz,TX,78154,US,29.603406669791557,-98.27983811152414,+12106515888,{'url': 'https://locations.raisingcanes.com/tx/schertz/6027-fm-3009'}
Raising Cane's,C343,Raising Cane's Chicken Fingers,1406 S. Main Street,Boerne,TX,78006,US,29.775916095082927,-98.7255063643771,+18302490039,{'url': 'https://locations.raisingcanes.com/tx/boerne/1406-s.-main-street'}
Raising Cane's,C395,Raising Cane's Chicken Fingers,1188 Interstate 35 S,New Braunfels,TX,78130,US,29.68655563016307,-98.1271426588955,+18306252876,{'url': 'https://locations.raisingcanes.com/tx/new-braunfels/1188-interstate-35-s'}
Raising Cane's,C505,Raising Cane's Chicken Fingers,6409 N Navarro Street,Victoria,TX,77904,US,28.854949170280833,-96.99768481694325,+13615741171,{'url': 'https://locations.raisingcanes.com/tx/victoria/6409-n-navarro-street'}
Raising Cane's,C466,Raising Cane's Chicken Fingers,1201 Junction Hwy,Kerrville,TX,78028,US,30.06031767844447,-99.16848088050573,+12103012010,{'url': 'https://locations.raisingcanes.com/tx/kerrville/1201-junction-hwy'}
Raising Cane's,C219,Raising Cane's Chicken Fingers,200 Highway 332 W,Lake Jackson,TX,77566,US,29.04918107114251,-95.46428881491767,+19792920560,{'url': 'https://locations.raisingcanes.com/tx/lake-jackson/200-highway-332-w'}
Raising Cane's,C207,Raising Cane's Chicken Fingers,928 Hwy 80,San Marcos,TX,78666,US,29.881519318377364,-97.91874634374093,+15126518198,{'url': 'https://locations.raisingcanes.com/tx/san-marcos/928-hwy-80'}
