brand,location_id,name,line1,city,region,postalCode,countryCode,lat,lng,phone
Starbucks UK,15084,,,,,,,,,
Starbucks UK,1021130,,,,,,,,,
Starbucks UK,1017875,,,,,,,,,
Starbucks UK,6929,,,,,,,,,
Starbucks UK,1005709,,,,,,,,,
Starbucks UK,1015450,,,,,,,,,
Starbucks UK,1009057,,,,,,,,,
Starbucks UK,1018179,,,,,,,,,
Starbucks UK,1024682,,,,,,,,,
Starbucks UK,7061,,,,,,,,,
Starbucks UK,1011094,,,,,,,,,
Starbucks UK,1019143,,,,,,,,,
Starbucks UK,1023558,,,,,,,,,
Starbucks UK,10202,,,,,,,,,
Starbucks UK,10234,,,,,,,,,
Starbucks UK,1008746,,,,,,,,,
Starbucks UK,1018303,,,,,,,,,
Starbucks UK,1040505,,,,,,,,,
Starbucks UK,1020695,,,,,,,,,
Starbucks UK,1005867,,,,,,,,,
Starbucks UK,1009700,,,,,,,,,
Starbucks UK,13532,,,,,,,,,
Starbucks UK,17732,,,,,,,,,
Starbucks UK,7657,,,,,,,,,
Starbucks UK,1025088,,,,,,,,,
Starbucks UK,1005251,,,,,,,,,
Starbucks UK,1011093,,,,,,,,,
Starbucks UK,1033102,,,,,,,,,
Starbucks UK,1008828,,,,,,,,,
Starbucks UK,1038943,,,,,,,,,
Starbucks UK,1008736,,,,,,,,,
Starbucks UK,1031511,,,,,,,,,
Starbucks UK,11233,,,,,,,,,
Starbucks UK,1054854,,,,,,,,,
Starbucks UK,13554,,,,,,,,,
Starbucks UK,1052689,,,,,,,,,
Starbucks UK,13831,,,,,,,,,
Starbucks UK,1020076,,,,,,,,,
Starbucks UK,8346,,,,,,,,,
Starbucks UK,1042940,,,,,,,,,
Starbucks UK,1038413,,,,,,,,,
Starbucks UK,18054,,,,,,,,,
Starbucks UK,10589,,,,,,,,,
Starbucks UK,1013620,,,,,,,,,
Starbucks UK,1025524,,,,,,,,,
Starbucks UK,17914,,,,,,,,,
Starbucks UK,18392,,,,,,,,,
Starbucks UK,15915,,,,,,,,,
Starbucks UK,89855,,,,,,,,,
Starbucks UK,1052427,,,,,,,,,
Starbucks UK,1025856,,,,,,,,,
Starbucks UK,7189,,,,,,,,,
Starbucks UK,9148,,,,,,,,,
Starbucks UK,1030176,,,,,,,,,
Starbucks UK,1023708,,,,,,,,,
Starbucks UK,1039415,,,,,,,,,
Starbucks UK,1007631,,,,,,,,,
Starbucks UK,7491,,,,,,,,,
Starbucks UK,1043768,,,,,,,,,
Starbucks UK,17544,,,,,,,,,
Starbucks UK,1044510,,,,,,,,,
Starbucks UK,14742,,,,,,,,,
Starbucks UK,1028125,,,,,,,,,
Starbucks UK,1023522,,,,,,,,,
Starbucks UK,1005808,,,,,,,,,
Starbucks UK,1031734,,,,,,,,,
Starbucks UK,1056208,,,,,,,,,
Starbucks UK,13895,,,,,,,,,
Starbucks UK,18465,,,,,,,,,
Starbucks UK,17881,,,,,,,,,
Starbucks UK,1044520,,,,,,,,,
Starbucks UK,69677,,,,,,,,,
Starbucks UK,1045134,,,,,,,,,
Starbucks UK,1009148,,,,,,,,,
Starbucks UK,1033293,,,,,,,,,
Starbucks UK,13849,,,,,,,,,
Starbucks UK,11058,,,,,,,,,
Starbucks UK,1018277,,,,,,,,,
Starbucks UK,6551,,,,,,,,,
Starbucks UK,8328,,,,,,,,,
Starbucks UK,1023273,,,,,,,,,
Starbucks UK,1006013,,,,,,,,,
Starbucks UK,14502,,,,,,,,,
Starbucks UK,11701,,,,,,,,,
Starbucks UK,1030440,,,,,,,,,
Starbucks UK,15314,,,,,,,,,
Starbucks UK,1055654,,,,,,,,,
Starbucks UK,1040279,,,,,,,,,
Starbucks UK,12090,,,,,,,,,
Starbucks UK,1024940,,,,,,,,,
Starbucks UK,1029924,,,,,,,,,
Starbucks UK,1019469,,,,,,,,,
Starbucks UK,16005,,,,,,,,,
Starbucks UK,1029576,,,,,,,,,
Starbucks UK,1027971,,,,,,,,,
Starbucks UK,1015914,,,,,,,,,
Starbucks UK,1015924,,,,,,,,,
Starbucks UK,1016616,,,,,,,,,
Starbucks UK,1055667,,,,,,,,,
Starbucks UK,11597,,,,,,,,,
Starbucks UK,10811,,,,,,,,,
Starbucks UK,17566,,,,,,,,,
Starbucks UK,16466,,,,,,,,,
Starbucks UK,1054194,,,,,,,,,
Starbucks UK,16087,,,,,,,,,
Starbucks UK,10555,,,,,,,,,
Starbucks UK,1016108,,,,,,,,,
Starbucks UK,16732,,,,,,,,,
Starbucks UK,1036982,,,,,,,,,
Starbucks UK,1017947,,,,,,,,,
Starbucks UK,1017771,,,,,,,,,
Starbucks UK,1014797,,,,,,,,,
Starbucks UK,17015,,,,,,,,,
Starbucks UK,17542,,,,,,,,,
Starbucks UK,14986,,,,,,,,,
Starbucks UK,69879,,,,,,,,,
Starbucks UK,1006265,,,,,,,,,
Starbucks UK,1019384,,,,,,,,,
Starbucks UK,1017148,,,,,,,,,
Starbucks UK,1009856,,,,,,,,,
Starbucks UK,1018115,,,,,,,,,
Starbucks UK,6870,,,,,,,,,
Starbucks UK,1030180,,,,,,,,,
Starbucks UK,7697,,,,,,,,,
Starbucks UK,63083,,,,,,,,,
Starbucks UK,12605,,,,,,,,,
