brand,store_id,store_number,name,ownership,phone,line1,line2,line3,city,region,postalCode,countryCode,lat,lng,open,openStatusFormatted,hoursStatusFormatted,slug
Starbucks,1033517,63507-294076,CAPTAIN PIP'S MARINA,LS,+1 305-517-6751,1490 OVERSEAS HWY,,,MARATHON,FL,33050,US,24.70903,-81.10959,True,Open until 7:00 PM,Open today from 6:00 AM - 7:00 PM,captain-pips-marina-1490-overseas-hwy-marathon-fl-33050-us
Starbucks,1043116,73058-303751,US-83 & Mile 1 E N,CO,+1 956-825-0668,3839 E. Expressway 83,,,Mercedes,TX,78570,US,26.16,-97.89541,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,us-83-mile-1-e-n-3839-e-expressway-83-mercedes-tx-785705069-us
Starbucks,8722900,87229-316061,W Expy 83 & Dilworth,CO,+1 956-452-4327,6202 W Expwy 83,,,Harlingen,TX,78552,US,26.18775,-97.75107,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,w-expy-83-dilworth-6202-w-expwy-83-harlingen-tx-78552-us
Starbucks,1040275,69774-302096,US Hwy 83 @ S Sam Houston Blvd,CO,+1 956-338-0108,151 W Expy 83,,,San Benito,TX,78586,US,26.1265,-97.63773,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,us-hwy-83-s-sam-houston-blvd-151-w-expy-83-san-benito-tx-785862901-us
Starbucks,7102,76498-100227,Target Harlingen 802,LS,+1 856-421-4900,1002 Dixieland Rd,,,Harlingen,TX,78552,US,26.18296,-97.72175,True,Open until 1:00 AM,Open today from 7:00 AM - 1:00 AM,target-harlingen-802-1002-dixieland-rd-harlingen-tx-785525913-us
Starbucks,10539,14223-116007,Hwy 83 & Tyler,CO,+1 956-428-0402,1816 W Tyler Ave,,,Harlingen,TX,78550,US,26.18986,-97.71533,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,hwy-83-tyler-1816-w-tyler-ave-harlingen-tx-785505939-us
Starbucks,9577,9893-98527,Ed Carey & Sunshine Strip,CO,+1 956-423-4938,1521 Ed Carey,,,Harlingen,TX,78550,US,26.17272,-97.67433,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,ed-carey-sunshine-strip-1521-ed-carey-harlingen-tx-785508209-us
Starbucks,1054018,82732-310171,S Texas Blvd & 18th St,CO,+1 956-255-9743,1620 S Texas Blvd,,,Weslaco,TX,78596,US,26.14218,-97.99081,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,s-texas-blvd-18th-st-1620-s-texas-blvd-weslaco-tx-78596-us
Starbucks,1033160,66383-298996,Hwy 83 & N. Bridge Ave.,CO,+1 956-649-5010,1025 E IH 2,,,Weslaco,TX,78596,US,26.1734,-97.98204,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,hwy-83-n-bridge-ave-1025-e-ih-2-weslaco-tx-785966315-us
Starbucks,10437,13420-105900,Hwy 83 & Westgate,CO,+1 956-968-1786,1915 West Expressway 83,,,Weslaco,TX,78596,US,26.17199,-98.00841,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,hwy-83-westgate-1915-west-expressway-83-weslaco-tx-785964331-us
Starbucks,116569,19112-177185,83 Expy & Morrison,CO,+1 956-350-8024,4247 N Expressway 77,,,Brownsville,TX,78520,US,25.96522,-97.51232,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,83-expy-morrison-4247-n-expressway-77-brownsville-tx-785209303-us
Starbucks,8409,76581-101598,Target Brownsville 2152,LS,+1 956-698-6120,4200 N Expy,,,Brownsville,TX,78526,US,25.96883,-97.51003,True,Open until 1:00 AM,Open today from 7:00 AM - 1:00 AM,target-brownsville-2152-4200-n-expy-brownsville-tx-785264000-us
Starbucks,8116,10410-99557,FM 802 & San Marcelo,CO,+1 956-541-2750,1465 E Ruben M Torres Sr. Blvd.,,,Brownsville,TX,78521,US,25.9519,-97.49653,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,fm-802-san-marcelo-1465-e-ruben-m-torres-sr-blvd-brownsville-tx-78521
Starbucks,1052524,81404-305688,Boca Chica Blvd & Los Ebnos Bl,CO,+1 956-452-9317,2491 Boca Chica Blvd,,,Brownsville,TX,78521,US,25.9222,-97.48334,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,boca-chica-blvd-los-ebnos-bl-2491-boca-chica-blvd-brownsville-tx-785212307-us
Starbucks,1020462,52758-282926,Matamoros DT,LS,,Av Pedro Cardenas Sn,Esq Victoria,,Matamoros,TAM,87390,MX,25.84705,-97.50707,False,,Store hours aren't available,matamoros-dt-av-pedro-cardenas-sn-matamoros-tam-87390-mx
Starbucks,1053729,82549-307438,Ruben Torres & S Minnesota Ave,CO,+1 956-233-7394,5720 Ruben M Torres Blvd,,,Brownsville,TX,78526,US,25.94515,-97.43057,True,Open until 11:30 PM,Open today from 4:30 AM - 11:30 PM,ruben-torres-s-minnesota-ave-5720-ruben-m-torres-blvd-brownsville-tx-78526-us
Starbucks,1040303,68299-301773,E Expressway 83 & Cesar Chavez,CO,+1 956-847-8238,1301 E. IH 2,,,San Juan,TX,78589,US,26.19254,-98.13707,True,Open until 12:00 AM,Open today from 4:30 AM - 12:00 AM,e-expressway-83-cesar-chavez-1301-e-ih-2-san-juan-tx-785894755-us
Starbucks,1039147,65913-299455,Publix Sunny Isles Beach 1536,LS,+1 305-935-1556,18320 Collins Ave,,,Sunny Isles Beach,FL,33160,US,25.94603,-80.12183,True,Open until 7:00 PM,Open today from 7:00 AM - 7:00 PM,publix-sunny-isles-beach-1536-18320-collins-ave-sunny-isles-beach-fl-33160-us
Starbucks,11470,75594-10318,Harbor Beach Resort & Spa Lobb,LS,+1 954-525-4000,3030 Holiday Dr,,,Fort Lauderdale,FL,33316,US,26.10763,-80.10604,True,Open until 4:00 PM,Open today from 6:00 AM - 4:00 PM,harbor-beach-resort-spa-lobb-3030-holiday-dr-fort-lauderdale-fl-333162498-us
Starbucks,11241,8550-74720,Hallandale Beach Blvd&Diplomat,CO,+1 954-458-2655,1805 E Hallandale Beach Blvd,,,Hallandale Beach,FL,33009,US,25.9867,-80.12911,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,hallandale-beach-blvd-diplomat-1805-e-hallandale-beach-blvd-hallandale-beach-fl-3
Starbucks,15351,8290-2302,Collins Ave & 171st St,CO,+1 305-940-8812,17100 Collins Ave,,Ste 101,Sunny Isles Beach,FL,33160,US,25.93468,-80.12199,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,collins-ave-171st-st-17100-collins-ave-ste-101-sunny-isles-beach-fl-331
Starbucks,1031391,65899-274905,Hotel Maren Ft. Lauderdale Bea,LS,+1 954-530-0381,525 S. Fort Lauderdale Beach Blvd,,,Fort Lauderdale,FL,33316,US,26.11598,-80.10507,True,Open until 2:00 PM,Open today from 7:00 AM - 2:00 PM,hotel-maren-ft-lauderdale-bea-525-s-fort-lauderdale-beach-blvd-fort-lauderdale-f
Starbucks,18610,70323-114971,Westin Ft. Lauderdale Beach Re,LS,+1 954-245-3020,321 N Route A1A,,,Fort Lauderdale,FL,33304,US,26.12612,-80.10394,True,Open until 9:00 PM,Open today from 6:00 AM - 9:00 PM,westin-ft-lauderdale-beach-re-321-n-route-a-1-a-fort-lauderdale-fl-33304-us
Starbucks,1016677,49266-238016,JW Marriott Miami Turnberry,LS,+1 786-279-6666,19999 West Country Club Dr,,,Aventura,FL,33180,US,25.9599,-80.13867,True,Open until 6:00 PM,Open today from 6:00 AM - 6:00 PM,jw-marriott-miami-turnberry-19999-west-country-club-dr-aventura-fl-33180-us
Starbucks,1007229,20115-185804,Sheridan & US 1,CO,+1 954-927-6403,1750 Sheridan St,,,Hollywood,FL,33020,US,26.03306,-80.14177,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,sheridan-us-1-1750-sheridan-st-hollywood-fl-330202275-us
Starbucks,1018630,50890-271257,Target Aventura 1074,LS,+1 305-933-4616,21265 BISCAYNE BLVD,,,Aventura,FL,33180,US,25.97265,-80.14274,True,Open until 8:00 PM,Open today from 7:00 AM - 8:00 PM,target-aventura-1074-21265-biscayne-blvd-aventura-fl-33180-us
Starbucks,1024449,53616-267244,Aventura ParkSquare Offices,LS,+1 754-799-0150,2980 NE 207 ST.,,107,Aventura,FL,33180,US,25.96732,-80.14263,True,Open until 7:00 PM,Open today from 7:00 AM - 7:00 PM,aventura-park-square-offices-2980-ne-207-st-107-aventura-fl-33180-us
Starbucks,1023167,56500-286012,Macy's Aventura Mall 1st Floor,LS,+1 305-682-3371,19535 Biscayne Blvd,,,Aventura,FL,33180,US,25.95724,-80.14189,True,Open until 9:00 PM,Open today from 9:00 AM - 9:00 PM,macys-aventura-mall-1st-floor-19535-biscayne-blvd-aventura-fl-33180-us
Starbucks,1018659,51692-278771,FLL Terminal 1A Gate A4,LS,+1 954-359-1200,100 Terminal Dr,,,Fort Lauderdale,FL,33315,US,26.07337,-80.13602,True,Open until 8:30 PM,Open today from 4:00 AM - 8:30 PM,fll-terminal-1-a-gate-a-4-100-terminal-dr-fort-lauderdale-fl-33315-us
Starbucks,1053147,81957-309852,Esplanade at Aventura,CO,,19505 Biscayne Blvd,,Ste 2195,Aventura,FL,33180,US,25.95499,-80.14307,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,esplanade-at-aventura-19505-biscayne-blvd-ste-2195-aventura-fl-331803840
Starbucks,1010302,24675-238015,FLL Rental Car,LS,+1 954-359-1200,50 Terminal Dr,,,Fort Lauderdale,FL,33315,US,26.0717,-80.13839,True,Open until 8:00 PM,Open today from 4:00 AM - 8:00 PM,fll-rental-car-50-terminal-dr-fort-lauderdale-fl-33315-us
Starbucks,19046,8328-145164,Sunrise & Bayview,CO,+1 954-564-8255,2519 E. Sunrise Blvd,,,Ft. Lauderdale,FL,33304,US,26.13824,-80.112,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,sunrise-bayview-2519-e-sunrise-blvd-ft-lauderdale-fl-333043203-us
Starbucks,1005504,19090-195125,9560 Harding Ave,CO,+1 305-867-8162,9560 Harding Ave,,,Surfside,FL,33154,US,25.88638,-80.12381,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,9560-harding-ave-9560-harding-ave-surfside-fl-331542502-us
Starbucks,1021751,51879-279254,Publix Fort Lauderdale 1097,LS,+1 954-847-2844,1940 CORDOVA RD.,,,Fort Lauderdale,FL,33316,US,26.09783,-80.13057,True,Open until 7:00 PM,Open today from 7:00 AM - 7:00 PM,publix-fort-lauderdale-1097-1940-cordova-rd-fort-lauderdale-fl-33316-us
Starbucks,1007351,22708-222688,FLL Terminal 1 Concourse B Gat,LS,+1 954-359-1200,100 Terminal Dr,,,Fort Lauderdale,FL,33315,US,26.07304,-80.13841,True,Open until 7:00 PM,Open today from 4:00 AM - 7:00 PM,fll-terminal-1-concourse-b-gat-100-terminal-dr-fort-lauderdale-fl-33315-us
Starbucks,1013778,27563-247664,FLL PRE-SECURITY Term 1 Bag Cl,LS,+1 954-359-8508,100 Terminal Drive,,,Fort Lauderdale,FL,33315,US,26.07264,-80.1396,True,Open until 10:00 PM,Open today from 5:00 AM - 10:00 PM,fll-pre-security-term-1-bag-cl-100-terminal-drive-fort-lauderdale-fl-33315-us
Starbucks,1007352,22709-222704,FLL Terminal 1 Concourse C Gat,LS,+1 954-359-1200,100 Terminal Dr,,,Fort Lauderdale,FL,33315,US,26.07351,-80.14062,True,Open until 7:00 PM,Open today from 4:00 AM - 7:00 PM,fll-terminal-1-concourse-c-gat-100-terminal-dr-fort-lauderdale-fl-33315-us
Starbucks,15137,8316-5449,Biscayne Blvd & NE 191 St,CO,+1 305-466-2899,19127 Biscayne Blvd,,,Aventura,FL,33180,US,25.95257,-80.14618,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,biscayne-blvd-ne-191-st-19127-biscayne-blvd-aventura-fl-331802310-us
Starbucks,1010586,24847-217504,Macy's Galleria 2nd Floor,LS,+1 954-537-2301,2414 E. Sunrise Blvd.,,,Fort Lauderdale,FL,33304,US,26.137,-80.1157,True,Open until 8:00 PM,Open today from 10:00 AM - 8:00 PM,macys-galleria-2nd-floor-2414-e-sunrise-blvd-fort-lauderdale-fl-33304-us
Starbucks,10065,8806-290302,SE 17th St & Miami Rd,CO,+1 954-767-0137,921 SE 17th St,,Ste A,Fort Lauderdale,FL,33316,US,26.10101,-80.13369,True,Open until 9:00 PM,Open today from 5:00 AM - 9:00 PM,se-17th-st-miami-rd-921-se-17th-st-ste-a-fort-lauderdale-fl-333163000-
